intervention,feature_scope,compartment,feature,reference_n,treatment_n,reference_mean,treatment_mean,effect_percentage_points,ci_low,ci_high,mann_whitney_u,p_value,minimum_total_cells,fdr_global_scope
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,Gamma-delta T/NK cell,6,12,0.00855238899375515,0.07178218983554109,6.322980084178593,2.6998863956944756,10.670738257648825,54.0,0.10050328269212781,200,0.1349615510437145
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,Gamma-delta T/NK-like cell,6,12,0.0291535957259542,0.07589278729152875,4.673919156557455,0.4609088008971035,9.491091543084394,47.0,0.32440251017972743,200,0.38117294946117974
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,IL-17+ gamma-delta T cell,6,12,0.0044593901769996325,0.0029560616517138247,-0.15033285252858078,-0.6315078076188317,0.45577017013639015,16.0,0.03777213893714183,200,0.0591763510015222
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,IL-22+ ILC3-like cell,6,12,0.004756298178116584,0.004249403977664841,-0.05068942004517428,-0.5325460102682807,0.7638180093314987,8.0,0.005930145606157915,200,0.0139358421744711
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,IL-5/IL-13+ ILC2,6,12,0.005816536090563433,0.015217542461120373,0.9401006370556939,-0.4396361145618196,2.772537122552413,34.0,0.8806949402371275,200,0.8998404824161955
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,Inflammatory monocyte/macrophage,6,12,0.10391442102487226,0.13152544024369878,2.761101921882651,-3.8965265470872104,9.19972877984664,44.0,0.48240520716622515,200,0.5272801101584321
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,Inflammatory neutrophil,6,12,0.04293439232413582,0.011707332945891298,-3.122705937824452,-6.7417575615685905,-0.3203923650540983,15.0,0.044531368740161635,200,0.0654054478371124
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,Mast cell/basophil,6,12,0.0012270509922489333,0.015936365497153857,1.4709314504904925,0.5965241233893875,2.4178041846935843,49.5,0.20265119873726567,200,0.2574217929905807
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,Mature B cell,6,12,0.1520109478140609,0.010425293305728077,-14.158565450833283,-19.52991887586369,-8.646441206130762,1.0,0.0007219849927575145,200,0.0034645546955279233
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,Naive T cell,6,12,0.0024094440541395997,0.0,-0.24094440541395998,-0.5418956148030784,-0.04036538283267667,12.0,0.00251103011687829,200,0.007376150968329977
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,Naive conventional T cell,6,12,0.050257772412730016,0.004120430908188342,-4.613734150454167,-8.685450023750002,-0.8722594170927028,6.0,0.0031599212365604123,200,0.008736252830490551
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,Plasma cell,6,12,0.027672852051010863,0.002136752136752133,-2.553609991425873,-4.341266268668672,-1.1269644293738286,4.0,0.0007917328385520969,200,0.0034645546955279233
alpha5beta1 blockade,Level 3 fraction within compartment,Stromal,Ackr4+ Pi16-like fibroblast,6,4,0.03482619725812089,0.022727272727272724,-1.2098924530848165,-4.1269403877229,3.4436485098619523,6.0,0.23519564042349617,200,0.29089987105011367
alpha5beta1 blockade,Level 3 fraction within compartment,Stromal,Apod+ Wnt5a+ trophic fibroblast,6,4,0.0243888997345624,0.028162055335968376,0.37731556014059775,-2.615785549204788,4.645679823476592,9.0,0.5929096584060489,200,0.633335316933734
alpha5beta1 blockade,Level 3 fraction within compartment,Stromal,Ccl7+ Cxcl1+ inflammatory fibroblast,6,4,0.16251377423043223,0.0108695652173913,-15.164420901304092,-19.441044209074786,-10.32681242801368,0.0,0.013061845200729446,200,0.0255794468514285
alpha5beta1 blockade,Level 3 fraction within compartment,Stromal,Clec3b+ Has1+ matrix fibroblast,6,4,0.1264617345153698,0.0,-12.64617345153698,-18.621537875529352,-6.654680835528022,0.0,0.011417221487911723,200,0.02333084391008048
alpha5beta1 blockade,Level 3 fraction within compartment,Stromal,Cxcl13+ fibroblast,6,4,0.032517917306257055,0.14772727272727273,11.520935542101569,-3.5009782277026926,34.91505516493165,12.0,1.0,200,1.0
alpha5beta1 blockade,Level 3 fraction within compartment,Stromal,ECM-rich fibroblast,6,4,0.2961142815117708,0.7850790513833993,48.89647698716285,25.14827712266206,71.10747442686524,23.0,0.025181464404459664,200,0.04383440100035571
alpha5beta1 blockade,Level 3 fraction within compartment,Stromal,Fibroblast (subtype unresolved),6,4,0.03884020882631623,0.0,-3.8840208826316234,-5.626144711731933,-2.3429262419209067,0.0,0.011417221487911723,200,0.02333084391008048
alpha5beta1 blockade,Level 3 fraction within compartment,Stromal,Il1r1+ fibroblast,6,4,0.27585698992671864,0.0,-27.585698992671865,-37.72103326326473,-17.900705124046482,0.0,0.011417221487911723,200,0.02333084391008048
alpha5beta1 blockade,Level 3 fraction within compartment,Stromal,Pdgfra+ Wnt5a+ fibroblast,6,4,0.0031380056753709837,0.00543478260869565,0.22967769333246665,-0.5607141477840116,1.3632454521590252,10.5,0.8101812364104736,200,0.8461892913620501
alpha5beta1 blockade,Level 3 fraction within compartment,Stromal,Wif1+ BMP-niche fibroblast,6,4,0.005341991015081051,0.0,-0.5341991015081051,-0.838334209512045,-0.22822004857380995,2.0,0.03072784224986109,200,0.049800296060119695
