direction,ligand,receptor,disease_score_fap_series,attenuation_fap_ablation,disease_score_blockade_series,attenuation_a5b1_blockade,disease_induced_both_series,attenuation_class,consensus_strength,interaction,attenuation_difference_ablation_minus_blockade,prespecified_focus,focus_order
Neutrophil -> Fibroblast,Hp,Tlr4,0.0223899348399642,0.308088485078838,0.0047673759688002,0.207494241590138,True,Attenuated by both,0.207494241590138,Hp → Tlr4,0.10059424348870002,False,
Neutrophil -> Fibroblast,Siglece,Nrp2,-0.0211298938458423,0.307086823074341,-0.033126100081017,0.410325318827396,False,Attenuated by both,,Siglece → Nrp2,-0.10323849575305499,False,
Neutrophil -> Fibroblast,L1cam,Itga5,-0.0186636082079582,0.492584420209258,0.002470320289299,0.155916282704092,False,Attenuated by both,,L1cam → Itga5,0.336668137505166,False,
Fibroblast -> Neutrophil,Lama2,Rpsa,0.0173560750847583,0.265512850768835,-0.343409197863782,0.0725802564202911,False,Attenuated by both,,Lama2 → Rpsa,0.19293259434854393,False,
Neutrophil -> Fibroblast,Tgfb1,Pdgfra,0.0168083596072794,0.123601891706323,-0.0509719410993605,0.347821498803459,False,Attenuated by both,,Tgfb1 → Pdgfra,-0.22421960709713595,False,
Fibroblast -> Neutrophil,Plau,Igf2r,0.0166306173064688,0.377285173693085,0.270230155294705,0.368784308949041,True,Attenuated by both,0.368784308949041,Plau → Igf2r,0.00850086474404399,False,
Fibroblast -> Neutrophil,Penk,Mrgpra2a,0.0149315025708514,0.41563663435127,0.0197015331026359,0.321039401307399,True,Attenuated by both,0.321039401307399,Penk → Mrgpra2a,0.09459723304387102,False,
Neutrophil -> Fibroblast,L1cam,Cd9,0.0134336619608052,0.188399924015404,-0.507333100531881,-0.152249406919358,False,FAP ablation only,,L1cam → Cd9,0.340649330934762,False,
Neutrophil -> Fibroblast,Tnf,Ltbr,0.0131439944454718,0.342819132742858,-0.124650501319858,-0.355986238563326,False,FAP ablation only,,Tnf → Ltbr,0.698805371306184,False,
Fibroblast -> Neutrophil,Cfh,Gm49368,-0.0128671359413632,0.348815846885608,0.0461890883176108,0.231895780878974,False,Attenuated by both,,Cfh → Gm49368,0.11692006600663402,False,
Neutrophil -> Fibroblast,Tgfb1,Tgfbr3,-0.0111159953821758,0.171734811884921,0.0765930708690329,0.456397568918107,False,Attenuated by both,,Tgfb1 → Tgfbr3,-0.284662757033186,False,
Neutrophil -> Fibroblast,Sema4a,Nrp1,0.009630605695568,0.169294155882312,-0.0704388492082027,0.390566598936331,False,Attenuated by both,,Sema4a → Nrp1,-0.221272443054019,False,
Fibroblast -> Neutrophil,Calm1,Pde1b,-0.0086886849008253,0.336392391718368,0.119788662735694,0.168396991212814,False,Attenuated by both,,Calm1 → Pde1b,0.16799540050555398,False,
Fibroblast -> Neutrophil,Adam15,Itga5,-0.0069886524506244,0.160982623664489,0.0944347986081363,0.303619225484727,False,Attenuated by both,,Adam15 → Itga5,-0.14263660182023796,False,
Neutrophil -> Fibroblast,Apoe,Lrp1,-0.0045010804588608,0.380099466685745,0.166521547990323,0.559599629115528,False,Attenuated by both,,Apoe → Lrp1,-0.17950016242978295,False,
