family,feature,min_cells,contrast,n_per_arm,effect,low,high,p,q
Full-gene program,CXCR4_aging_retention,50,alpha_in_UC,5,-0.17814274966483,-0.361549724900118,0.00526422557045919,0.0548685933885911,0.256053435813425
Full-gene program,Chemotaxis,50,alpha_in_UC,5,-0.136515676476041,-0.291855303316784,0.0188239503647017,0.0735530045970855,0.257435516089799
Full-gene program,Degranulation,50,alpha_in_UC,5,0.0626996053451998,0.0452829644648276,0.080116246225572,3.74454827458398e-05,0.000524236758441757
Full-gene program,ER_stress,50,alpha_in_UC,5,-0.106630203772458,-0.248737796923102,0.0354773893781873,0.113925790643436,0.318992213801622
Full-gene program,Hypoxia_glycolysis,50,alpha_in_UC,5,0.0113307501918701,-0.0803011683632044,0.102962668746945,0.753477760815163,0.753477760815163
Full-gene program,Immature_granulopoiesis,50,alpha_in_UC,5,0.0964678839963538,0.0387667736768188,0.154168994315889,0.00648815632849008,0.0454170942994306
Full-gene program,Integrin_adhesion,50,alpha_in_UC,5,-0.0445929602345342,-0.184134214539778,0.0949482940707099,0.445552556291303,0.646733691588255
Full-gene program,NETosis,50,alpha_in_UC,5,0.023668220891113,-0.0654554069840996,0.112791848766326,0.525429390535067,0.646733691588255
Full-gene program,OSM_inflammation,50,alpha_in_UC,5,-0.0734347214089509,-0.324457672719389,0.177588229901488,0.514316625623172,0.646733691588255
Full-gene program,Oxidative_burst,50,alpha_in_UC,5,-0.0473573581127813,-0.242547488182992,0.14783277195743,0.554343164218505,0.646733691588255
Full-gene program,Phagocytosis,50,alpha_in_UC,5,-0.100094326623615,-0.300484294435207,0.100295641187977,0.257088619615157,0.5998734457687
Full-gene program,Proliferation_stress,50,alpha_in_UC,5,0.0114057448149647,-0.0288054951239004,0.0516169847538298,0.518837370704497,0.646733691588255
Full-gene program,Survival_antiapoptosis,50,alpha_in_UC,5,-0.05393893292302,-0.218149902848088,0.110272037002048,0.452015772144329,0.646733691588255
Full-gene program,Type_I_interferon,50,alpha_in_UC,5,0.00607607143812452,-0.033955598258012,0.046107741134261,0.728135816655034,0.753477760815163
