state,program,version,n,effect,se,low,high,p,p_signflip,same_sign,contrast,min_cells,q
MX1/ISG neutrophil,Hypoxia_glycolysis,identity_markers_removed,4,0.0880724972844821,0.0131912874700273,0.0460919332135586,0.130053061355406,0.00685179414043502,0.125,4,alpha_in_UC,10,0.10883836903748
MX1/ISG neutrophil,ER_stress,full_gene,4,-0.079927446063915,0.0422531236570495,-0.214395743332988,0.0545408512051578,0.154904450418138,0.25,3,alpha_in_UC,10,0.313815437384698
MX1/ISG neutrophil,ER_stress,identity_markers_removed,4,-0.079927446063915,0.0422531236570495,-0.214395743332988,0.0545408512051578,0.154904450418138,0.25,3,alpha_in_UC,10,0.313967363059696
MX1/ISG neutrophil,Proliferation_stress,full_gene,4,0.00421063595428274,0.0244465638379202,-0.0735892408085887,0.0820105127171541,0.874214023580813,0.875,3,alpha_in_UC,10,0.941461256163952
MX1/ISG neutrophil,Proliferation_stress,identity_markers_removed,4,0.00421063595428274,0.0244465638379202,-0.0735892408085887,0.0820105127171541,0.874214023580813,0.875,3,alpha_in_UC,10,0.941461256163952
MX1/ISG neutrophil,Integrin_adhesion,full_gene,4,0.0912463890743966,0.0485833947511506,-0.0633676560495426,0.245860434198336,0.156983681529848,0.125,4,alpha_in_UC,10,0.313815437384698
MX1/ISG neutrophil,Integrin_adhesion,identity_markers_removed,4,0.0912463890743966,0.0485833947511506,-0.0633676560495426,0.245860434198336,0.156983681529848,0.125,4,alpha_in_UC,10,0.313967363059696
MX1/ISG neutrophil,CXCR4_aging_retention,full_gene,4,-0.12566795878684,0.0693803472570967,-0.346467188574488,0.0951312710008085,0.167773995962735,0.25,3,alpha_in_UC,10,0.313815437384698
MX1/ISG neutrophil,CXCR4_aging_retention,identity_markers_removed,4,-0.112606637967828,0.0567016478481783,-0.293056587665761,0.0678433117301046,0.141238306322121,0.125,4,alpha_in_UC,10,0.313967363059696
OSM neutrophil,NETosis,full_gene,5,0.0202782962984855,0.0215948745694883,-0.0396786874973307,0.0802352800943016,0.400879651523096,0.4375,3,alpha_in_UC,10,0.590770012770878
OSM neutrophil,NETosis,identity_markers_removed,5,0.0182497690433836,0.0221663570253922,-0.0432939044198332,0.0797934425066004,0.456585603189096,0.4375,3,alpha_in_UC,10,0.672862994173405
OSM neutrophil,Degranulation,full_gene,5,0.0316099037421638,0.0133430713190622,-0.00543640130995147,0.0686562087942791,0.0769036147761037,0.0625,5,alpha_in_UC,10,0.287106828497454
OSM neutrophil,Degranulation,identity_markers_removed,5,0.0316099037421638,0.0133430713190622,-0.00543640130995147,0.0686562087942791,0.0769036147761037,0.0625,5,alpha_in_UC,10,0.313414504687547
OSM neutrophil,Oxidative_burst,full_gene,5,-0.0119855723557587,0.0510497488816855,-0.153722397759891,0.129751253048373,0.825906675702801,0.9375,3,alpha_in_UC,10,0.906877918418762
OSM neutrophil,Oxidative_burst,identity_markers_removed,5,-0.0119855723557587,0.0510497488816855,-0.153722397759891,0.129751253048373,0.825906675702801,0.9375,3,alpha_in_UC,10,0.925015476787137
OSM neutrophil,Phagocytosis,full_gene,5,-0.0805099817837153,0.0491066040212452,-0.216851772151388,0.0558318085839573,0.176453619116953,0.25,3,alpha_in_UC,10,0.313815437384698
OSM neutrophil,Phagocytosis,identity_markers_removed,5,-0.0805099817837153,0.0491066040212452,-0.216851772151388,0.0558318085839573,0.176453619116953,0.25,3,alpha_in_UC,10,0.321288496831767
OSM neutrophil,Chemotaxis,full_gene,5,-0.117101044374373,0.0411876628602214,-0.231456329317172,-0.00274575943157451,0.0467203123668979,0.0625,5,alpha_in_UC,10,0.261633749254628
OSM neutrophil,Chemotaxis,identity_markers_removed,5,-0.0996085841015171,0.0376796144370203,-0.204223965170922,0.0050067969678881,0.0573660350770473,0.125,4,alpha_in_UC,10,0.29204526948315
OSM neutrophil,OSM_inflammation,full_gene,5,-0.0701513043222075,0.026174196260452,-0.142822523412026,0.00251991476761075,0.0552188095901739,0.0625,5,alpha_in_UC,10,0.281113939731794
OSM neutrophil,OSM_inflammation,identity_markers_removed,5,-0.0636510039976156,0.020546201802867,-0.120696405423592,-0.00660560257163954,0.0362933676033984,0.0625,5,alpha_in_UC,10,0.203242858579031
