metric,marker,role,reference,comparison,n_reference,n_comparison,median_reference,median_comparison,difference_group_medians,hodges_lehmann_shift,U_comparison,rank_biserial,p_exact,allocations,ties,contrast_context,q_BH_60
mean,Ly6G,gate-conditioned lineage diagnostic,WD,FD,6,5,22936.886927666037,31626.8937059118,8690.006778245763,4808.369409845085,19.0,0.2666666666666666,0.5367965367965368,462,False,within recorded context,0.7001693958215698
mean,Ly6G,gate-conditioned lineage diagnostic,WD,FC,6,6,22936.886927666037,19023.659770786646,-3913.2271568793913,-3659.74828979033,13.0,-0.2777777777777778,0.48484848484848486,924,False,cross-context; preparation day and design confounding,0.6611570247933884
mean,Ly6G,gate-conditioned lineage diagnostic,WD,FG,6,6,22936.886927666037,29507.474734896074,6570.587807230037,5338.202357653885,24.0,0.33333333333333326,0.3939393939393939,924,False,cross-context; preparation day and design confounding,0.5496828752642706
mean,Ly6G,gate-conditioned lineage diagnostic,FD,FC,5,6,31626.8937059118,19023.659770786646,-12603.233935125154,-9792.659578556932,5.0,-0.6666666666666667,0.08225108225108226,462,False,cross-context; preparation day and design confounding,0.17017465293327363
mean,Ly6G,gate-conditioned lineage diagnostic,FD,FG,5,6,31626.8937059118,29507.474734896074,-2119.418971015726,-1554.6822364623313,13.0,-0.1333333333333333,0.7922077922077922,462,False,cross-context; preparation day and design confounding,0.8802308802308803
mean,Ly6G,gate-conditioned lineage diagnostic,FC,FG,6,6,19023.659770786646,29507.474734896074,10483.814964109428,9241.696355981498,32.0,0.7777777777777777,0.025974025974025976,924,False,within recorded context,0.07083825265643448
mean,F4/80,gate-conditioned lineage diagnostic,WD,FD,6,5,3618.6154808320634,4447.888695737313,829.2732149052499,813.9831075924906,18.0,0.19999999999999996,0.6623376623376623,462,False,within recorded context,0.8110257089848926
mean,F4/80,gate-conditioned lineage diagnostic,WD,FC,6,6,3618.6154808320634,-2125.758579211636,-5744.3740600436995,-5762.020730837903,0.0,-1.0,0.0021645021645021645,924,False,cross-context; preparation day and design confounding,0.016233766233766232
mean,F4/80,gate-conditioned lineage diagnostic,WD,FG,6,6,3618.6154808320634,2151.9556643540213,-1466.659816478042,-1562.0114313221825,9.0,-0.5,0.17965367965367965,924,False,cross-context; preparation day and design confounding,0.2994227994227994
mean,F4/80,gate-conditioned lineage diagnostic,FD,FC,5,6,4447.888695737313,-2125.758579211636,-6573.647274948949,-6811.504690888498,2.0,-0.8666666666666667,0.017316017316017316,462,False,cross-context; preparation day and design confounding,0.051948051948051945
mean,F4/80,gate-conditioned lineage diagnostic,FD,FG,5,6,4447.888695737313,2151.9556643540213,-2295.933031383292,-2835.8694022038108,6.0,-0.6,0.12554112554112554,462,False,cross-context; preparation day and design confounding,0.22825659189295552
mean,F4/80,gate-conditioned lineage diagnostic,FC,FG,6,6,-2125.758579211636,2151.9556643540213,4277.714243565657,4013.7510880314812,36.0,1.0,0.0021645021645021645,924,False,within recorded context,0.016233766233766232
