p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.01234389681508e-90,1.24756656722921,0.185,0.019,6.89630253438528e-87,2,H2AC6
3.61348089544789e-90,0.528190212627823,0.215,0.035,1.23833990286999e-86,2,CALM2
3.71965567034576e-90,0.427090036585133,0.239,0.042,1.27472599822749e-86,2,RBBP6
1.65699049807955e-89,0.894767780282728,0.231,0.034,5.67850643691863e-86,2,CSTB
1.7348756762752e-87,1.43294495067818,0.163,0.015,5.9454189425951e-84,2,PRRG4
1.81757591796157e-86,0.988696287691276,0.207,0.033,6.2288326708543e-83,2,HSPA5
2.36146736038297e-85,1.11582970181174,0.194,0.026,8.09274864403242e-82,2,CARD16
5.1177490794036e-85,0.423765982174818,0.252,0.042,1.75385260951161e-81,2,ATF4
5.14942899656848e-85,1.26244072784169,0.211,0.023,1.76470931712402e-81,2,AADACL2-AS1
5.86657261537713e-80,0.636691358229923,0.222,0.036,2.01047443528974e-76,2,IL1A
1.65508101221395e-79,0.505888004945154,0.327,0.082,5.6719626288572e-76,2,C15orf48
4.56426773191561e-77,0.56660604574105,0.153,0.019,1.56417455172748e-73,2,RMND5A
1.66391153388083e-76,1.48108384831762,0.167,0.022,5.7022248266096e-73,2,S100A12
3.59987364771817e-76,1.05283954400883,0.33,0.099,1.23367669907302e-72,2,CCL4
2.4224098623597e-75,0.36510653406984,0.223,0.046,8.30159859830668e-72,2,JUN
3.27043621421539e-74,0.767091609307024,0.159,0.018,1.12077849061162e-70,2,DAPK2
8.45072574926084e-73,0.34027504198151,0.164,0.023,2.89606371427169e-69,2,SLC22A15
1.91511767482812e-72,0.713162287354638,0.191,0.027,6.56310827163596e-69,2,CDKN1A
2.14776952795428e-72,0.855837967735964,0.192,0.028,7.36040617229932e-69,2,PLAU
8.68099221589265e-72,0.243276890013476,0.18,0.038,2.97497603238641e-68,2,HMGN2
1.56477584511395e-71,0.979291586180262,0.282,0.081,5.36248682120551e-68,2,CCL3
1.12283731024211e-68,0.386606615132311,0.186,0.038,3.84796346219971e-65,2,HMGB2
1.62358285696448e-68,0.885366174300529,0.173,0.023,5.56401845081727e-65,2,CR1
4.34854182114399e-68,1.65174805550291,0.132,0.012,1.49024528210604e-64,2,HSPA6
1.96198702947806e-67,0.292418006379293,0.146,0.022,6.72372955002132e-64,2,SNHG16
4.6257269474639e-67,1.14757732220479,0.15,0.019,1.58523662489588e-63,2,ADM
3.23059018697762e-65,1.44534103058119,0.147,0.023,1.10712325707723e-61,2,C4orf3
1.10690952548192e-64,0.502252444654588,0.162,0.022,3.79337894382654e-61,2,BASP1-AS1
1.61077495130036e-64,1.08952974896539,0.205,0.039,5.52012575810635e-61,2,CXCL2
1.41048587392943e-62,0.770140103509063,0.156,0.027,4.83373508995617e-59,2,RHOB
6.0306431698135e-61,0.896126834662132,0.121,0.013,2.06670141429509e-57,2,MIR3945HG
1.56492980113858e-60,1.98166781282908,0.123,0.011,5.36301442850192e-57,2,IFIT2
5.33570443552083e-60,1.25299386772644,0.144,0.022,1.82854591005299e-56,2,DUSP6
7.34955004832427e-59,0.412840534315801,0.205,0.046,2.51869080156073e-55,2,SLAMF7
1.46967686994314e-54,0.760496276531123,0.129,0.022,5.03658263329515e-51,2,CLEC12A
2.73363893930665e-54,1.39394307496973,0.109,0.013,9.36818064500389e-51,2,SEPHS2
1.13303280140184e-52,0.66525457630432,0.123,0.018,3.88290341040409e-49,2,PTGER4
1.47604876737047e-52,1.13604283432618,0.119,0.016,5.05841912577858e-49,2,CCR1
1.98076701229635e-52,1.62328140736181,0.116,0.012,6.78808855113959e-49,2,IFIT3
7.39263254678379e-52,0.679816259219446,0.156,0.026,2.5334551737828e-48,2,APMAP
1.43881229230038e-51,1.68347790887638,0.111,0.012,4.93080972571341e-48,2,SIGLEC10
1.97068715023894e-51,0.732811706772184,0.145,0.019,6.75354486386886e-48,2,PHC1
