key,sample_uid,group,scope,state,n_cells,program,score
Level 2___Epithelial___Merged_a5B1__M23,Merged_a5B1__M23,alpha5beta1 blockade,Level 2,Epithelial,91181,Interferon response,1.3027085480929863
Level 2___Epithelial___Merged_a5B1__M23,Merged_a5B1__M23,alpha5beta1 blockade,Level 2,Epithelial,91181,Barrier / junctions,6.8954930629739435
Level 2___Epithelial___Merged_a5B1__M23,Merged_a5B1__M23,alpha5beta1 blockade,Level 2,Epithelial,91181,Mucus / secretory,9.591284536716564
Level 2___Epithelial___Merged_a5B1__M23,Merged_a5B1__M23,alpha5beta1 blockade,Level 2,Epithelial,91181,Injury-associated regeneration,5.6538498826960835
Level 2___Epithelial___Merged_a5B1__M23,Merged_a5B1__M23,alpha5beta1 blockade,Level 2,Epithelial,91181,Absorptive differentiation,5.387084505881655
Level 2___Epithelial___Merged_a5B1__M15,Merged_a5B1__M15,alpha5beta1 blockade,Level 2,Epithelial,5779,Inflammatory chemokines,3.5906501486041638
Level 2___Epithelial___Merged_a5B1__M15,Merged_a5B1__M15,alpha5beta1 blockade,Level 2,Epithelial,5779,Interferon response,2.381584790753596
Level 2___Epithelial___Merged_a5B1__M15,Merged_a5B1__M15,alpha5beta1 blockade,Level 2,Epithelial,5779,Barrier / junctions,7.27018423635036
Level 2___Epithelial___Merged_a5B1__M15,Merged_a5B1__M15,alpha5beta1 blockade,Level 2,Epithelial,5779,Mucus / secretory,9.798517694403344
Level 2___Epithelial___Merged_a5B1__M15,Merged_a5B1__M15,alpha5beta1 blockade,Level 2,Epithelial,5779,Injury-associated regeneration,6.119715946428888
Level 2___Epithelial___Merged_a5B1__M15,Merged_a5B1__M15,alpha5beta1 blockade,Level 2,Epithelial,5779,Absorptive differentiation,5.365889754436145
Level 2___Epithelial___Merged_a5B1__M22,Merged_a5B1__M22,alpha5beta1 blockade,Level 2,Epithelial,5489,Inflammatory chemokines,1.8712268221663635
Level 2___Epithelial___Merged_a5B1__M22,Merged_a5B1__M22,alpha5beta1 blockade,Level 2,Epithelial,5489,Interferon response,0.9947945574317048
Level 2___Epithelial___Merged_a5B1__M22,Merged_a5B1__M22,alpha5beta1 blockade,Level 2,Epithelial,5489,Barrier / junctions,6.701343175083994
Level 2___Epithelial___Merged_a5B1__M22,Merged_a5B1__M22,alpha5beta1 blockade,Level 2,Epithelial,5489,Mucus / secretory,9.41432572479107
Level 2___Epithelial___Merged_a5B1__M22,Merged_a5B1__M22,alpha5beta1 blockade,Level 2,Epithelial,5489,Injury-associated regeneration,5.162170654629755
Level 2___Epithelial___Merged_a5B1__M22,Merged_a5B1__M22,alpha5beta1 blockade,Level 2,Epithelial,5489,Absorptive differentiation,5.31505543649851
Level 2___Epithelial___Merged_a5B1__M21,Merged_a5B1__M21,alpha5beta1 blockade,Level 2,Epithelial,4897,Inflammatory chemokines,1.8954165956576852
Level 2___Epithelial___Merged_a5B1__M21,Merged_a5B1__M21,alpha5beta1 blockade,Level 2,Epithelial,4897,Interferon response,0.8511196727318449
Level 2___Epithelial___Merged_a5B1__M21,Merged_a5B1__M21,alpha5beta1 blockade,Level 2,Epithelial,4897,Barrier / junctions,6.717868656724884
Level 2___Epithelial___Merged_a5B1__M21,Merged_a5B1__M21,alpha5beta1 blockade,Level 2,Epithelial,4897,Mucus / secretory,9.453218342679028
Level 2___Epithelial___Merged_a5B1__M21,Merged_a5B1__M21,alpha5beta1 blockade,Level 2,Epithelial,4897,Injury-associated regeneration,5.2963947873537
Level 2___Epithelial___Merged_a5B1__M21,Merged_a5B1__M21,alpha5beta1 blockade,Level 2,Epithelial,4897,Absorptive differentiation,5.510081414325307
Level 2___Epithelial___Merged_a5B1__M18,Merged_a5B1__M18,alpha5beta1 blockade,Level 2,Epithelial,3754,Inflammatory chemokines,3.4116958969204334
Level 2___Epithelial___Merged_a5B1__M18,Merged_a5B1__M18,alpha5beta1 blockade,Level 2,Epithelial,3754,Interferon response,1.9833669270468717
Level 2___Epithelial___Merged_a5B1__M18,Merged_a5B1__M18,alpha5beta1 blockade,Level 2,Epithelial,3754,Barrier / junctions,7.191415532149947
Level 2___Epithelial___Merged_a5B1__M18,Merged_a5B1__M18,alpha5beta1 blockade,Level 2,Epithelial,3754,Mucus / secretory,9.60541480409869
Level 2___Epithelial___Merged_a5B1__M18,Merged_a5B1__M18,alpha5beta1 blockade,Level 2,Epithelial,3754,Injury-associated regeneration,6.067138383534778
Level 2___Epithelial___Merged_a5B1__M18,Merged_a5B1__M18,alpha5beta1 blockade,Level 2,Epithelial,3754,Absorptive differentiation,5.002658788351276
Level 2___Epithelial___Merged_a5B1__M14,Merged_a5B1__M14,alpha5beta1 blockade,Level 2,Epithelial,1162,Inflammatory chemokines,3.3191164959027497
Level 2___Epithelial___Merged_a5B1__M14,Merged_a5B1__M14,alpha5beta1 blockade,Level 2,Epithelial,1162,Interferon response,2.0210498554469822
Level 2___Epithelial___Merged_a5B1__M14,Merged_a5B1__M14,alpha5beta1 blockade,Level 2,Epithelial,1162,Barrier / junctions,7.143057375546976
Level 2___Epithelial___Merged_a5B1__M14,Merged_a5B1__M14,alpha5beta1 blockade,Level 2,Epithelial,1162,Mucus / secretory,9.900411686644105
Level 2___Epithelial___Merged_a5B1__M14,Merged_a5B1__M14,alpha5beta1 blockade,Level 2,Epithelial,1162,Injury-associated regeneration,5.917004527264907
Level 2___Epithelial___Merged_a5B1__M14,Merged_a5B1__M14,alpha5beta1 blockade,Level 2,Epithelial,1162,Absorptive differentiation,5.233553581234047
Level 2___Epithelial___Merged_a5B1__M17,Merged_a5B1__M17,alpha5beta1 blockade,Level 2,Epithelial,751,Inflammatory chemokines,3.7124348520648147
Level 2___Epithelial___Merged_a5B1__M17,Merged_a5B1__M17,alpha5beta1 blockade,Level 2,Epithelial,751,Interferon response,1.6942497942331134
Level 2___Epithelial___Merged_a5B1__M17,Merged_a5B1__M17,alpha5beta1 blockade,Level 2,Epithelial,751,Barrier / junctions,7.092263323321817
Level 2___Epithelial___Merged_a5B1__M17,Merged_a5B1__M17,alpha5beta1 blockade,Level 2,Epithelial,751,Mucus / secretory,9.366637722819883
Level 2___Epithelial___Merged_a5B1__M17,Merged_a5B1__M17,alpha5beta1 blockade,Level 2,Epithelial,751,Injury-associated regeneration,6.059637974001253
Level 2___Epithelial___Merged_a5B1__M17,Merged_a5B1__M17,alpha5beta1 blockade,Level 2,Epithelial,751,Absorptive differentiation,4.425477634175797
Level 2___Epithelial___Merged_a5B1__M24,Merged_a5B1__M24,alpha5beta1 blockade,Level 2,Epithelial,4859,Inflammatory chemokines,2.3282925252699025
Level 2___Epithelial___Merged_a5B1__M24,Merged_a5B1__M24,alpha5beta1 blockade,Level 2,Epithelial,4859,Interferon response,0.6249363065687599
