sample,group,subset,kind,events,denominator_events,value
WD5,WD,Saved: cd177- all neutrophils/cxcr4- mx1+,saved gate,23,301,7.641196013289036
WD5,WD,Saved: cd177- all neutrophils/cxcr4- osm+,saved gate,11,301,3.654485049833887
WD5,WD,Saved: cd177- all neutrophils/mx1+ cxcr4+,saved gate,86,301,28.571428571428573
WD5,WD,Saved: cd177- all neutrophils/mx1+ osm+,saved gate,10,301,3.3222591362126246
WD5,WD,Saved: cd177- all neutrophils/osm+ padi4+,saved gate,22,301,7.308970099667774
WD5,WD,Saved: cd177- all neutrophils/padi4+ cxcr4+,saved gate,126,301,41.86046511627907
WD5,WD,Saved: cd177- all neutrophils/padi4+ cxcr4-,saved gate,7,301,2.3255813953488373
WD5,WD,Saved: cd177- all neutrophils/padi4+ mx1+,saved gate,21,301,6.976744186046512
WD5,WD,Saved: cxcr4+,saved gate,247,301,82.05980066445183
WD5,WD,Saved: cxcr4+/cd177 hi,saved gate,31,301,10.299003322259136
WD5,WD,"Saved: cxcr4+/mx1, osm+",saved gate,8,301,2.6578073089700998
WD5,WD,"Saved: cxcr4+/mx1, padi4+",saved gate,25,301,8.305647840531561
WD5,WD,"Saved: cxcr4+/padi4, osm+",saved gate,15,301,4.983388704318937
WD5,WD,Saved: cxcr4+/padi4- or osm-,saved gate,213,301,70.7641196013289
WD5,WD,Saved: cxcr4+/padi4- or osm-/true cxcr+ neutro,saved gate,164,301,54.48504983388705
WD5,WD,Saved: cxcr4-,saved gate,48,301,15.946843853820598
WD5,WD,Saved: cxcr4-/cd177 hi,saved gate,4,301,1.3289036544850499
WD5,WD,Saved: mx1+,saved gate,63,301,20.930232558139537
WD5,WD,Saved: mx1+/cd177 hi,saved gate,1,301,0.33222591362126247
WD5,WD,Saved: osm+,saved gate,52,301,17.27574750830565
WD5,WD,Saved: osm+/cd177 hi,saved gate,0,301,0.0
WD5,WD,Saved: padi4+,saved gate,48,301,15.946843853820598
WD5,WD,Saved: padi4+/cd177 hi,saved gate,1,301,0.33222591362126247
WD5,WD,FMO: CXCR4+,fixed FMO,216,301,71.76079734219269
WD5,WD,FMO: OSM+,fixed FMO,2,301,0.6644518272425249
WD5,WD,FMO: PADI4+,fixed FMO,0,301,0.0
WD5,WD,FMO: MX1+,fixed FMO,71,301,23.588039867109636
WD5,WD,FMO: NAMPT+,fixed FMO,108,301,35.880398671096344
WD5,WD,FMO: CXCR4+ & OSM+,fixed FMO coexpression,0,301,0.0
WD5,WD,FMO: CXCR4+ & PADI4+,fixed FMO coexpression,0,301,0.0
WD5,WD,FMO: CXCR4+ & MX1+,fixed FMO coexpression,53,301,17.60797342192691
WD5,WD,FMO: CXCR4+ & NAMPT+,fixed FMO coexpression,89,301,29.568106312292358
WD5,WD,FMO: OSM+ & PADI4+,fixed FMO coexpression,0,301,0.0
WD5,WD,FMO: OSM+ & MX1+,fixed FMO coexpression,2,301,0.6644518272425249
WD5,WD,FMO: OSM+ & NAMPT+,fixed FMO coexpression,2,301,0.6644518272425249
WD5,WD,FMO: PADI4+ & MX1+,fixed FMO coexpression,0,301,0.0
WD5,WD,FMO: PADI4+ & NAMPT+,fixed FMO coexpression,0,301,0.0
WD5,WD,FMO: MX1+ & NAMPT+,fixed FMO coexpression,52,301,17.27574750830565
WD5,WD,F4/80 gate overlap,gate overlap,40,301,13.289036544850498
WD5,WD,Outside F4/80 gate,gate overlap,261,301,86.7109634551495
WD6,WD,All neutrophils / viable cells,total abundance,885,59247,1.493746518811079
WD6,WD,All neutrophils / CD45-CD11b gate,total abundance,885,3039,29.12142152023692
WD6,WD,Saved: cd177+ all neutrophil,saved gate,450,885,50.847457627118644
WD6,WD,Saved: cd177+ all neutrophil/cxcr4+,saved gate,44,885,4.971751412429379
WD6,WD,Saved: cd177+ all neutrophil/cxcr4+/padi4+,saved gate,5,885,0.5649717514124294
WD6,WD,Saved: cd177+ all neutrophil/cxcr4- osm+,saved gate,0,885,0.0
WD6,WD,Saved: cd177+ all neutrophil/mx1+ cxcr4-,saved gate,0,885,0.0
WD6,WD,Saved: cd177+ all neutrophil/padi4+,saved gate,89,885,10.056497175141242
WD6,WD,Saved: cd177+ all neutrophil/padi4+ cxcr4-,saved gate,11,885,1.2429378531073447
WD6,WD,Saved: cd177- all neutrophils,saved gate,340,885,38.4180790960452
WD6,WD,Saved: cd177- all neutrophils/cxcr4+ osm+,saved gate,27,885,3.0508474576271185
WD6,WD,Saved: cd177- all neutrophils/cxcr4- mx1+,saved gate,13,885,1.4689265536723164
WD6,WD,Saved: cd177- all neutrophils/cxcr4- osm+,saved gate,11,885,1.2429378531073447
WD6,WD,Saved: cd177- all neutrophils/mx1+ cxcr4+,saved gate,29,885,3.2768361581920904
WD6,WD,Saved: cd177- all neutrophils/mx1+ osm+,saved gate,16,885,1.807909604519774
WD6,WD,Saved: cd177- all neutrophils/osm+ padi4+,saved gate,4,885,0.4519774011299435
WD6,WD,Saved: cd177- all neutrophils/padi4+ cxcr4+,saved gate,134,885,15.141242937853107
WD6,WD,Saved: cd177- all neutrophils/padi4+ cxcr4-,saved gate,39,885,4.406779661016949
WD6,WD,Saved: cd177- all neutrophils/padi4+ mx1+,saved gate,0,885,0.0
WD6,WD,Saved: cxcr4+,saved gate,282,885,31.864406779661017
WD6,WD,Saved: cxcr4+/cd177 hi,saved gate,42,885,4.745762711864407
WD6,WD,"Saved: cxcr4+/mx1, osm+",saved gate,4,885,0.4519774011299435
WD6,WD,"Saved: cxcr4+/mx1, padi4+",saved gate,5,885,0.5649717514124294
WD6,WD,"Saved: cxcr4+/padi4, osm+",saved gate,2,885,0.22598870056497175
WD6,WD,Saved: cxcr4+/padi4- or osm-,saved gate,253,885,28.587570621468927
WD6,WD,Saved: cxcr4+/padi4- or osm-/true cxcr+ neutro,saved gate,246,885,27.796610169491526
WD6,WD,Saved: cxcr4-,saved gate,578,885,65.31073446327683
WD6,WD,Saved: cxcr4-/cd177 hi,saved gate,405,885,45.76271186440678
WD6,WD,Saved: mx1+,saved gate,14,885,1.5819209039548023
WD6,WD,Saved: mx1+/cd177 hi,saved gate,0,885,0.0
WD6,WD,Saved: osm+,saved gate,50,885,5.649717514124294
WD6,WD,Saved: osm+/cd177 hi,saved gate,0,885,0.0
WD6,WD,Saved: padi4+,saved gate,33,885,3.7288135593220337
WD6,WD,Saved: padi4+/cd177 hi,saved gate,1,885,0.11299435028248588
WD6,WD,FMO: CXCR4+,fixed FMO,203,885,22.937853107344633
WD6,WD,FMO: OSM+,fixed FMO,2,885,0.22598870056497175
WD6,WD,FMO: PADI4+,fixed FMO,0,885,0.0
WD6,WD,FMO: MX1+,fixed FMO,10,885,1.1299435028248588
WD6,WD,FMO: NAMPT+,fixed FMO,10,885,1.1299435028248588
