sample,group,subset,events,immediate_parent_events,percent_immediate_parent
FD4,FD,Saved: cd177- all neutrophils/mx1+ osm+,32,310,10.32258064516129
FD4,FD,Saved: cd177- all neutrophils/osm+ padi4+,12,310,3.870967741935484
FD4,FD,Saved: cd177- all neutrophils/padi4+ cxcr4+,72,310,23.225806451612904
FD4,FD,Saved: cd177- all neutrophils/padi4+ cxcr4-,55,310,17.741935483870968
FD4,FD,Saved: cd177- all neutrophils/padi4+ mx1+,7,310,2.2580645161290325
FD4,FD,Saved: cxcr4+,185,640,28.90625
FD4,FD,Saved: cxcr4+/cd177 hi,28,185,15.135135135135135
FD4,FD,"Saved: cxcr4+/mx1, osm+",22,185,11.891891891891891
FD4,FD,"Saved: cxcr4+/mx1, padi4+",5,185,2.7027027027027026
FD4,FD,"Saved: cxcr4+/padi4, osm+",8,185,4.324324324324325
FD4,FD,Saved: cxcr4+/padi4- or osm-,159,185,85.94594594594595
FD4,FD,Saved: cxcr4+/padi4- or osm-/true cxcr+ neutro,132,159,83.01886792452831
FD4,FD,Saved: cxcr4-,429,640,67.03125
FD4,FD,Saved: cxcr4-/cd177 hi,249,429,58.04195804195804
FD4,FD,Saved: mx1+,53,640,8.28125
FD4,FD,Saved: mx1+/cd177 hi,0,53,0.0
FD4,FD,Saved: osm+,43,640,6.71875
FD4,FD,Saved: osm+/cd177 hi,0,43,0.0
FD4,FD,Saved: padi4+,35,640,5.46875
FD4,FD,Saved: padi4+/cd177 hi,3,35,8.571428571428571
FD5,FD,Saved: cd177+ all neutrophil,156,477,32.704402515723274
FD5,FD,Saved: cd177+ all neutrophil/cxcr4+,55,156,35.256410256410255
FD5,FD,Saved: cd177+ all neutrophil/cxcr4+/padi4+,7,55,12.727272727272727
FD5,FD,Saved: cd177+ all neutrophil/cxcr4- osm+,0,156,0.0
FD5,FD,Saved: cd177+ all neutrophil/mx1+ cxcr4-,0,156,0.0
FD5,FD,Saved: cd177+ all neutrophil/padi4+,31,156,19.871794871794872
FD5,FD,Saved: cd177+ all neutrophil/padi4+ cxcr4-,4,156,2.5641025641025643
FD5,FD,Saved: cd177- all neutrophils,295,477,61.84486373165618
FD5,FD,Saved: cd177- all neutrophils/cxcr4+ osm+,15,295,5.084745762711864
FD5,FD,Saved: cd177- all neutrophils/cxcr4- mx1+,9,295,3.0508474576271185
FD5,FD,Saved: cd177- all neutrophils/cxcr4- osm+,0,295,0.0
FD5,FD,Saved: cd177- all neutrophils/mx1+ cxcr4+,15,295,5.084745762711864
FD5,FD,Saved: cd177- all neutrophils/mx1+ osm+,11,295,3.7288135593220337
FD5,FD,Saved: cd177- all neutrophils/osm+ padi4+,1,295,0.3389830508474576
FD5,FD,Saved: cd177- all neutrophils/padi4+ cxcr4+,117,295,39.66101694915254
FD5,FD,Saved: cd177- all neutrophils/padi4+ cxcr4-,68,295,23.050847457627118
FD5,FD,Saved: cd177- all neutrophils/padi4+ mx1+,3,295,1.0169491525423728
FD5,FD,Saved: cxcr4+,221,477,46.331236897274636
FD5,FD,Saved: cxcr4+/cd177 hi,51,221,23.076923076923077
FD5,FD,"Saved: cxcr4+/mx1, osm+",8,221,3.6199095022624435
FD5,FD,"Saved: cxcr4+/mx1, padi4+",2,221,0.9049773755656109
FD5,FD,"Saved: cxcr4+/padi4, osm+",1,221,0.45248868778280543
FD5,FD,Saved: cxcr4+/padi4- or osm-,179,221,80.99547511312217
FD5,FD,Saved: cxcr4+/padi4- or osm-/true cxcr+ neutro,165,179,92.17877094972067
FD5,FD,Saved: cxcr4-,238,477,49.895178197064986
FD5,FD,Saved: cxcr4-/cd177 hi,101,238,42.436974789915965
FD5,FD,Saved: mx1+,13,477,2.7253668763102725
FD5,FD,Saved: mx1+/cd177 hi,1,13,7.6923076923076925
FD5,FD,Saved: osm+,19,477,3.9832285115303985
FD5,FD,Saved: osm+/cd177 hi,2,19,10.526315789473685
FD5,FD,Saved: padi4+,89,477,18.658280922431867
