subset,marker,kind,family,n_PBS,n_GCV,PBS_median,GCV_median,PBS_q25,PBS_q75,GCV_q25,GCV_q75,status,p_exact,rank_biserial,median_difference,hodges_lehmann_shift,q_family,family_test_count,q_all_tests
Saved: cd177- all neutrophils/osm+ padi4+,MX1,saved gate,Exploratory subset MFI,1,3,91920.31911666927,4832.60138914595,91920.31911666927,91920.31911666927,4109.826206591123,6196.226722417581,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/osm+ padi4+,PADI4,saved gate,Exploratory subset MFI,1,3,7299.89946977187,6328.722390463429,7299.89946977187,7299.89946977187,5614.125739798623,6786.922113530617,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/osm+ padi4+,NAMPT,saved gate,Exploratory subset MFI,1,3,649.4676413771457,413.6820286065203,649.4676413771457,649.4676413771457,410.913078112432,571.7692997986964,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/osm+ padi4+,CD177,saved gate,Exploratory subset MFI,1,3,-35969.72810281739,-13828.343290864957,-35969.72810281739,-35969.72810281739,-14906.958875521785,-12288.584178631172,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/osm+ padi4+,CD11b,saved gate,Exploratory subset MFI,1,3,22360.015160440933,9490.36645968449,22360.015160440933,22360.015160440933,8341.832775774255,10545.142746653699,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/osm+ padi4+,CD45,saved gate,Exploratory subset MFI,1,3,20436.546780561122,16047.066724145861,20436.546780561122,20436.546780561122,15100.867027853232,18839.38826750084,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/osm+ padi4+,Ly6G,saved gate,Exploratory subset MFI,1,3,7303.263862773367,27817.861785880705,7303.263862773367,7303.263862773367,21943.953744289473,28926.90154257029,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/osm+ padi4+,F4/80,saved gate,Exploratory subset MFI,1,3,-17257.483968563964,-3423.6646604167295,-17257.483968563964,-17257.483968563964,-4142.9312548989465,2248.9451952707414,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/padi4+ cxcr4+,OSM,saved gate,Exploratory subset MFI,6,5,-2241.1640384297516,577.2784249900819,-10435.946943448542,-84.18586053920367,-6464.772150598289,10562.629024396098,tested,0.42857142857142855,0.33333333333333326,2818.4424634198335,6418.003536583532,0.9586466165413534,170.0,0.9339622641509433
Saved: cd177- all neutrophils/padi4+ cxcr4+,CXCR4,saved gate,Exploratory subset MFI,6,5,5638.471595833857,3955.904922380474,4331.324329221013,6728.456915344892,3000.59472605362,5122.445907272308,tested,0.12554112554112554,-0.6,-1682.5666734533825,-1482.9399699508353,0.7622139764996907,170.0,0.8055555555555556
Saved: cd177- all neutrophils/padi4+ cxcr4+,MX1,saved gate,Exploratory subset MFI,6,5,609.5688836914899,669.7510789412798,-1341.3556709002496,1055.1599902363885,-710.4738304118448,3471.2580595942327,tested,0.7922077922077922,0.1333333333333333,60.18219524978997,1040.4560091156386,1.0,170.0,1.0
Saved: cd177- all neutrophils/padi4+ cxcr4+,PADI4,saved gate,Exploratory subset MFI,6,5,4533.608764309992,4360.892082926611,3933.0997017718864,5206.175600223681,4229.5475118405575,7430.316435451086,tested,0.6623376623376623,0.19999999999999996,-172.716681383381,389.1065784164507,1.0,170.0,1.0
Saved: cd177- all neutrophils/padi4+ cxcr4+,NAMPT,saved gate,Exploratory subset MFI,6,5,83.5184466175881,207.8682639583323,-42.10830464026236,126.79723809327061,-39.26404447644655,378.50906801244054,tested,0.42857142857142855,0.33333333333333326,124.34981734074421,101.37785247061365,0.9586466165413534,170.0,0.9339622641509433
