analysis	n_pairs	gene	logFC	logCPM	F	PValue	FDR
"All fibroblasts"	5	"IGKC"	1.18728079573793	10.5849691591176	9.70859893480833	0.0076313306749954	0.219105600410135
"All fibroblasts"	5	"MICAL2"	0.967299131835703	7.52417606481427	9.66043315227129	0.00763316232765702	0.219105600410135
"All fibroblasts"	5	"CDC25B"	1.6735647296863	5.83855216076077	9.16095912397174	0.00771128009401197	0.220260038284226
"All fibroblasts"	5	"ANGPTL2"	0.941264031446878	8.38730024401808	9.64032919955484	0.00781372239429472	0.220260038284226
"All fibroblasts"	5	"NR1D1"	-1.31987709042248	7.22240558675715	9.49774812956316	0.00783145103079061	0.220260038284226
"All fibroblasts"	5	"COL7A1"	2.07828494213074	7.94608485132874	9.60448458703433	0.00786936502878246	0.220260038284226
"All fibroblasts"	5	"SLIT3"	-1.42071905758158	7.11643713754828	9.55698688813859	0.007905847848651	0.220260038284226
"All fibroblasts"	5	"TMEM100"	-1.38095547241401	6.86226747038598	9.35458652275402	0.00793508816245568	0.220260038284226
"All fibroblasts"	5	"ZNF721"	-1.33152780874656	5.9223886091405	9.21967121495594	0.00793797975625321	0.220260038284226
"All fibroblasts"	5	"PCED1A"	1.5360740148657	6.71878262032099	9.29859759647275	0.00800556651087997	0.221082635350226
"All fibroblasts"	5	"IRF2BP2"	-0.828280750752128	8.55870913718484	9.49943643579019	0.00816212458971596	0.222200226272122
"All fibroblasts"	5	"WNT5A"	1.03286611727424	8.38648046481812	9.49688021065982	0.00818661817595954	0.222200226272122
"All fibroblasts"	5	"DACT1"	-1.36258873866895	6.67616394685827	9.27174168936623	0.00819271437051527	0.222200226272122
"All fibroblasts"	5	"ADAMTS4"	2.31144313611026	6.94935579303287	9.02621878624837	0.00819856678368048	0.222200226272122
"All fibroblasts"	5	"PGD"	1.35504006778697	6.36112882571116	9.10499153029598	0.00829010808467845	0.22306771917468
"All fibroblasts"	5	"SULF2"	1.21810148319467	6.58039582021439	9.13237533571801	0.00834870288837113	0.22306771917468
"All fibroblasts"	5	"TFPI2"	1.18809025356796	6.93950531481656	9.37119651997856	0.00834929975455453	0.22306771917468
"All fibroblasts"	5	"ACADVL"	0.78339233974885	8.31935327315158	9.42281757157454	0.00838370181899001	0.22306771917468
"All fibroblasts"	5	"ATP1B1"	-1.30506388255049	7.44106636831917	9.34284674652516	0.00857033794063663	0.226997087182226
"All fibroblasts"	5	"FMNL3"	1.43617545367997	5.91638099990858	8.91916077441755	0.00876490719848297	0.229877043135844
"All fibroblasts"	5	"SNED1"	1.10047515688181	7.35242392951249	9.26934329941989	0.00879896310321278	0.229877043135844
"All fibroblasts"	5	"RAB5C"	0.983797970164632	7.49886040166226	9.26609653909471	0.00880673642230572	0.229877043135844
"All fibroblasts"	5	"SUPT5H"	0.892811997787598	7.24140889509653	9.18219322523662	0.00887091264718526	0.229877043135844
"All fibroblasts"	5	"ATXN7L3"	1.69242932036766	5.93665133100678	8.87869556701384	0.00894178965978193	0.229877043135844
