program,population,version,n,effect,se,low,high,p,p_signflip,same_sign,contrast,min_cells,q,q_signflip
OSM_inflammation,All annotated,identity_markers_removed,6,-0.0137791580304605,0.0260203187586031,-0.0806665167887926,0.0531082007278716,0.619082025069576,0.625,2,alpha_in_UC,0,0.722262362581172,0.729166666666667
OSM_inflammation,Resolved,full_gene,6,-0.0867059398278635,0.0282740971055229,-0.159386820266338,-0.0140250593893891,0.0278908736857013,0.03125,6,alpha_in_UC,0,0.130157410533273,0.145833333333333
OSM_inflammation,Resolved,identity_markers_removed,6,-0.0769975654162143,0.0239254419820953,-0.138499871984959,-0.0154952588474696,0.0235119826895753,0.03125,6,alpha_in_UC,0,0.109722585884685,0.145833333333333
OSM_inflammation,Resolved; >=100 genes,full_gene,6,-0.115955053467767,0.035319660504182,-0.206747131200659,-0.0251629757348753,0.0218814921550854,0.03125,6,alpha_in_UC,0,0.108296525857284,0.145833333333333
OSM_inflammation,Resolved; >=100 genes,identity_markers_removed,6,-0.103626125013155,0.0298978743299753,-0.180481057689926,-0.0267711923363829,0.0179261974123722,0.03125,6,alpha_in_UC,0,0.0868385845948595,0.145833333333333
Type_I_interferon,All annotated,full_gene,6,-0.000429481775841564,0.00704208658759024,-0.0185317416428791,0.017672778091196,0.953731616421022,0.9375,3,alpha_in_UC,0,0.953731616421022,0.9375
Type_I_interferon,All annotated,identity_markers_removed,6,0.000989082932848394,0.00751900245640725,-0.0183391282036969,0.0203172940693937,0.900473905029047,0.875,4,alpha_in_UC,0,0.900473905029047,0.90625
Type_I_interferon,Resolved,full_gene,6,0.0152710153233719,0.0152177385433723,-0.0238474269556836,0.0543894576024273,0.361681976307909,0.3125,5,alpha_in_UC,0,0.506354766831073,0.4375
Type_I_interferon,Resolved,identity_markers_removed,6,0.0179274612936145,0.0165341210448853,-0.0245748499325796,0.0604297725198087,0.3277362628182,0.34375,5,alpha_in_UC,0,0.45883076794548,0.48125
Type_I_interferon,Resolved; >=100 genes,full_gene,6,0.0107302886835436,0.0171504561977517,-0.0333563624912732,0.0548169398583604,0.558985954962427,0.53125,5,alpha_in_UC,0,0.600259292678807,0.619791666666667
Type_I_interferon,Resolved; >=100 genes,identity_markers_removed,6,0.0133214387465468,0.0186227718880094,-0.0345499203979687,0.0611927978910623,0.506408036092611,0.46875,5,alpha_in_UC,0,0.59080937544138,0.583333333333333
Immature_granulopoiesis,All annotated,full_gene,6,0.0635222879200803,0.0139679643561078,0.0276164924654541,0.0994280833747065,0.00612530647531687,0.0625,5,alpha_in_UC,0,0.0142923817757394,0.0972222222222222
Immature_granulopoiesis,All annotated,identity_markers_removed,6,0.0635222879200803,0.0139679643561078,0.0276164924654541,0.0994280833747065,0.00612530647531687,0.0625,5,alpha_in_UC,0,0.0142923817757394,0.0972222222222222
Immature_granulopoiesis,Resolved,full_gene,6,0.0675329724732903,0.03096322157665,-0.0120605224844287,0.147126467431009,0.0810035342679138,0.09375,5,alpha_in_UC,0,0.21857473144577,0.2625
