gene,logFC,logCPM,F,PValue,FDR,population,contrast,n_donors,tested_genes
HK2,-0.612772327399064,4.69141876974221,1.29199659058112,0.256538597200471,0.506067189291059,Resolved,alpha_interaction,4,16812
HK3,1.79155651568651,0.993229049927568,0.765397077571982,0.382309679748059,0.612891230659328,Resolved,alpha_interaction,4,16812
HKDC1,-5.13272188865808,1.54517581995991,0.592975508481682,0.448476217894206,0.664376626735627,Resolved,alpha_interaction,4,16812
HLA-A,-1.52587676191929,12.0484905017843,52.1820625828283,3.82084517124341e-12,6.11771895418516e-10,Resolved,alpha_interaction,4,16812
HLA-B,-1.43486667840968,12.3426538171296,46.0893533835081,5.61345988790385e-11,5.93543947392702e-09,Resolved,alpha_interaction,4,16812
HLA-C,-1.15867446932173,11.5425295312758,30.0592177695083,8.59625604998712e-08,3.57723407703919e-06,Resolved,alpha_interaction,4,16812
HLA-DMA,-4.30799053544384,1.31320595161821,0.721050015357751,0.396447534564112,0.624655665519386,Resolved,alpha_interaction,4,16812
HLA-DMB,-6.15843834216943,1.52069379207471,2.50979244327754,0.114142831978451,0.328583823775982,Resolved,alpha_interaction,4,16812
HLA-DQA1,-5.40953971213385,1.64282802069081,1.50141602229918,0.221371674343112,0.470060526135982,Resolved,alpha_interaction,4,16812
HLA-DQB1,-0.311502437452798,4.7090398226827,0.121483696545168,0.727661064194619,0.850028477090459,Resolved,alpha_interaction,4,16812
HLA-DRA,-1.8176186808957,5.63140525921305,8.80587933433997,0.00322996655429139,0.0264759618287406,Resolved,alpha_interaction,4,16812
HLA-DRB1,0.227830360270398,1.96874770771998,0.0224784372779656,0.880916775794873,0.941810673110551,Resolved,alpha_interaction,4,16812
HLA-E,-1.18355583790451,11.2803619053931,30.8352890532618,5.96880363890929e-08,2.64769199940219e-06,Resolved,alpha_interaction,4,16812
HLA-F,-0.425830274341631,7.67332235125809,2.28125358861225,0.131947143363395,0.355895295078678,Resolved,alpha_interaction,4,16812
HLA-G,1.11446297386703,2.51123589549203,1.54197059924733,0.21523091034543,0.463177826077293,Resolved,alpha_interaction,4,16812
HLA-L,-0.397881471138856,3.00663104015485,0.123309743723573,0.725703890547828,0.848888511127635,Resolved,alpha_interaction,4,16812
HLA-V,-1.59489761083764,6.00179600387564,14.4043732216876,0.000176604547102842,0.0025551425524036,Resolved,alpha_interaction,4,16812
HLCS,0.909368998044899,2.36994392624222,0.677839836309001,0.410943037339711,0.635114390858175,Resolved,alpha_interaction,4,16812
HLF,1.17287019663019,0.858269047622707,0.3556846455064,0.551338230018823,0.737105234439479,Resolved,alpha_interaction,4,16812
HLTF,1.5878704642925,2.02635287155298,2.33952827692588,0.127112138399599,0.349470036103688,Resolved,alpha_interaction,4,16812
HLTF-AS1,1.3966454433938,0.885710214459431,0.485743374075137,0.486344825939698,0.691862346733644,Resolved,alpha_interaction,4,16812
HLX,1.5566221582941,1.11007640234834,1.05498626890685,0.305132690361152,0.549663664491721,Resolved,alpha_interaction,4,16812
HM13,-1.814265953869,5.96504580905323,14.3773748990511,0.000179073510050537,0.00258616416908597,Resolved,alpha_interaction,4,16812
HMBOX1,-0.0358480537514761,5.8079415497092,0.00663927644645794,0.935110412579014,0.970575857693913,Resolved,alpha_interaction,4,16812
HMBS,0.842305798413603,2.38214368274869,0.421654789165935,0.516577852279455,0.713264360423965,Resolved,alpha_interaction,4,16812
HMCES,-0.397517665936174,4.86019162515188,0.550603554743874,0.458619438759705,0.671673213717923,Resolved,alpha_interaction,4,16812
HMCN1,0.287742101779916,3.33700470096515,0.124716089562535,0.724207818646066,0.847985920537517,Resolved,alpha_interaction,4,16812
HMCN2,1.97368770952229,2.1073656033433,2.69685316775729,0.10152503410751,0.305698687848442,Resolved,alpha_interaction,4,16812
HMG20A,-0.157763896675663,2.51050938096294,0.0174700312436913,0.894929574947051,0.949696391286776,Resolved,alpha_interaction,4,16812
HMG20B,0.0276005900397678,3.2150816124534,0.000784967554610463,0.977665861882201,0.990151715058046,Resolved,alpha_interaction,4,16812
HMGA1,-1.01944436194792,5.93850716134592,3.78258488134848,0.0526727452909218,0.205225780621355,Resolved,alpha_interaction,4,16812
HMGA1P4,0.456744072868285,3.05765727090859,0.195751102309709,0.658470995278353,0.807455461168466,Resolved,alpha_interaction,4,16812
HMGA2,1.8335977293959,2.74645700560942,3.86177659491604,0.0502610280194069,0.198823515158818,Resolved,alpha_interaction,4,16812
HMGB1,-1.12043599044804,8.11508194628979,17.4792080715637,3.76712499739262e-05,0.000686907868288121,Resolved,alpha_interaction,4,16812
HMGB1P1,0.519860499479948,2.06208144090979,0.168708695458617,0.681537281975894,0.820950403709876,Resolved,alpha_interaction,4,16812
HMGB2,-0.919269701942067,6.88207778858508,8.65427961720299,0.00350457398131551,0.0284632356395538,Resolved,alpha_interaction,4,16812
HMGCL,1.57215599072036,2.81196336719623,3.42446271398408,0.065160207926208,0.23302986931619,Resolved,alpha_interaction,4,16812
HMGCR,-0.173085646475964,4.85159447917421,0.111989728846483,0.738111921289495,0.856511431579169,Resolved,alpha_interaction,4,16812
HMGCS1,-0.713633171290341,5.00762327311068,1.80832966632684,0.179669673614515,0.422462454938073,Resolved,alpha_interaction,4,16812
HMGN1,-0.824185935884303,6.84027430275988,7.17955986565618,0.00776086864657736,0.05215640546633,Resolved,alpha_interaction,4,16812
HMGN2,-0.692995760931527,6.16955748354668,3.66226522411336,0.0565626119289298,0.213643346472878,Resolved,alpha_interaction,4,16812
HMGN4,-0.861671990111298,4.84324164828379,2.91006588426866,0.0890095790888465,0.283838483726607,Resolved,alpha_interaction,4,16812
HMGN5,0.52960932983055,3.17645292096151,0.396831308266683,0.529178957408577,0.721299444181138,Resolved,alpha_interaction,4,16812
HMGXB3,-0.639763349060554,4.22008000529899,1.01179666883358,0.315235433658213,0.557632376963582,Resolved,alpha_interaction,4,16812
