program,population,version,DonorID,delta,contrast,min_cells
OSM_inflammation,Resolved; >=100 genes,full_gene,Donor2,-0.412152408492723,alpha_interaction,0
OSM_inflammation,Resolved; >=100 genes,full_gene,Donor3,-0.370800722742284,alpha_interaction,0
OSM_inflammation,Resolved; >=100 genes,full_gene,Donor4,-0.387060996392371,alpha_interaction,0
OSM_inflammation,Resolved; >=100 genes,full_gene,Donor5,-0.593342914437509,alpha_interaction,0
OSM_inflammation,Resolved; >=100 genes,full_gene,Donor6,-1.009389590046,alpha_interaction,0
OSM_inflammation,Resolved; >=100 genes,identity_markers_removed,Donor1,-0.33862703091309,alpha_interaction,0
OSM_inflammation,Resolved; >=100 genes,identity_markers_removed,Donor2,-0.374137791789476,alpha_interaction,0
OSM_inflammation,Resolved; >=100 genes,identity_markers_removed,Donor3,-0.33336761249774,alpha_interaction,0
OSM_inflammation,Resolved; >=100 genes,identity_markers_removed,Donor4,-0.368946595464419,alpha_interaction,0
OSM_inflammation,Resolved; >=100 genes,identity_markers_removed,Donor5,-0.536070919692608,alpha_interaction,0
OSM_inflammation,Resolved; >=100 genes,identity_markers_removed,Donor6,-0.936421046663295,alpha_interaction,0
Type_I_interferon,All annotated,full_gene,Donor1,0.0115757973984877,alpha_interaction,0
Type_I_interferon,All annotated,full_gene,Donor2,-0.0204131644094731,alpha_interaction,0
Type_I_interferon,All annotated,full_gene,Donor3,-0.0487273036931687,alpha_interaction,0
Type_I_interferon,All annotated,full_gene,Donor4,-0.0338721137114574,alpha_interaction,0
Type_I_interferon,All annotated,full_gene,Donor5,0.0199287062255611,alpha_interaction,0
Type_I_interferon,All annotated,full_gene,Donor6,-0.0275661298966051,alpha_interaction,0
Type_I_interferon,All annotated,identity_markers_removed,Donor1,0.0197108516277662,alpha_interaction,0
Type_I_interferon,All annotated,identity_markers_removed,Donor2,-0.0422491252325695,alpha_interaction,0
Type_I_interferon,All annotated,identity_markers_removed,Donor3,-0.053328598478439,alpha_interaction,0
Type_I_interferon,All annotated,identity_markers_removed,Donor4,-0.038914386693829,alpha_interaction,0
Type_I_interferon,All annotated,identity_markers_removed,Donor5,0.0126677351577653,alpha_interaction,0
Type_I_interferon,All annotated,identity_markers_removed,Donor6,-0.0298008627351171,alpha_interaction,0
Type_I_interferon,Resolved,full_gene,Donor1,-0.0108397638474747,alpha_interaction,0
Type_I_interferon,Resolved,full_gene,Donor2,-0.0708490652968366,alpha_interaction,0
Type_I_interferon,Resolved,full_gene,Donor3,-0.0302759773359475,alpha_interaction,0
Type_I_interferon,Resolved,full_gene,Donor4,-0.0461112629359647,alpha_interaction,0
Type_I_interferon,Resolved,full_gene,Donor5,-0.00637513871777898,alpha_interaction,0
Type_I_interferon,Resolved,full_gene,Donor6,-0.363791852060435,alpha_interaction,0
Type_I_interferon,Resolved,identity_markers_removed,Donor1,0.00234797276083679,alpha_interaction,0
Type_I_interferon,Resolved,identity_markers_removed,Donor2,-0.0704492518771403,alpha_interaction,0
Type_I_interferon,Resolved,identity_markers_removed,Donor3,-0.039343548724963,alpha_interaction,0
Type_I_interferon,Resolved,identity_markers_removed,Donor4,-0.0609154461373441,alpha_interaction,0
Type_I_interferon,Resolved,identity_markers_removed,Donor5,-0.00279226642734157,alpha_interaction,0
Type_I_interferon,Resolved,identity_markers_removed,Donor6,-0.399151430782882,alpha_interaction,0
Type_I_interferon,Resolved; >=100 genes,full_gene,Donor1,0.00838149743537707,alpha_interaction,0
Type_I_interferon,Resolved; >=100 genes,full_gene,Donor2,-0.0779857798504299,alpha_interaction,0
Type_I_interferon,Resolved; >=100 genes,full_gene,Donor3,-0.0311670815981845,alpha_interaction,0
Type_I_interferon,Resolved; >=100 genes,full_gene,Donor4,-0.0236198258150322,alpha_interaction,0
Type_I_interferon,Resolved; >=100 genes,full_gene,Donor5,-0.00346798849852269,alpha_interaction,0
Type_I_interferon,Resolved; >=100 genes,full_gene,Donor6,-0.363463066973325,alpha_interaction,0
Type_I_interferon,Resolved; >=100 genes,identity_markers_removed,Donor1,0.0249728353539618,alpha_interaction,0
Type_I_interferon,Resolved; >=100 genes,identity_markers_removed,Donor2,-0.0795571958812955,alpha_interaction,0
Type_I_interferon,Resolved; >=100 genes,identity_markers_removed,Donor3,-0.0418735157462321,alpha_interaction,0
Type_I_interferon,Resolved; >=100 genes,identity_markers_removed,Donor4,-0.0408724208537427,alpha_interaction,0
Type_I_interferon,Resolved; >=100 genes,identity_markers_removed,Donor5,0.00109470811093482,alpha_interaction,0
Type_I_interferon,Resolved; >=100 genes,identity_markers_removed,Donor6,-0.399274760343555,alpha_interaction,0
Immature_granulopoiesis,All annotated,full_gene,Donor1,0.105480980803723,alpha_interaction,0
Immature_granulopoiesis,All annotated,full_gene,Donor2,0.103687367124398,alpha_interaction,0
Immature_granulopoiesis,All annotated,full_gene,Donor3,0.280870536813426,alpha_interaction,0
Immature_granulopoiesis,All annotated,full_gene,Donor4,0.165691454882621,alpha_interaction,0
Immature_granulopoiesis,All annotated,full_gene,Donor5,0.122055913607948,alpha_interaction,0
Immature_granulopoiesis,All annotated,full_gene,Donor6,0.350825797102674,alpha_interaction,0
Immature_granulopoiesis,All annotated,identity_markers_removed,Donor1,0.105480980803723,alpha_interaction,0
Immature_granulopoiesis,All annotated,identity_markers_removed,Donor2,0.103687367124398,alpha_interaction,0
Immature_granulopoiesis,All annotated,identity_markers_removed,Donor3,0.280870536813426,alpha_interaction,0
Immature_granulopoiesis,All annotated,identity_markers_removed,Donor4,0.165691454882621,alpha_interaction,0
Immature_granulopoiesis,All annotated,identity_markers_removed,Donor5,0.122055913607948,alpha_interaction,0
Immature_granulopoiesis,All annotated,identity_markers_removed,Donor6,0.350825797102674,alpha_interaction,0
Immature_granulopoiesis,Resolved,full_gene,Donor1,0.127103591579583,alpha_interaction,0
Immature_granulopoiesis,Resolved,full_gene,Donor2,0.0422850483224462,alpha_interaction,0
Immature_granulopoiesis,Resolved,full_gene,Donor3,0.345330877214728,alpha_interaction,0
Immature_granulopoiesis,Resolved,full_gene,Donor4,0.186744998632166,alpha_interaction,0
Immature_granulopoiesis,Resolved,full_gene,Donor5,-0.0656485603893647,alpha_interaction,0
Immature_granulopoiesis,Resolved,full_gene,Donor6,0.279659293632814,alpha_interaction,0
Immature_granulopoiesis,Resolved,identity_markers_removed,Donor1,0.127103591579583,alpha_interaction,0
Immature_granulopoiesis,Resolved,identity_markers_removed,Donor2,0.0422850483224462,alpha_interaction,0
Immature_granulopoiesis,Resolved,identity_markers_removed,Donor3,0.345330877214728,alpha_interaction,0
Immature_granulopoiesis,Resolved,identity_markers_removed,Donor4,0.186744998632166,alpha_interaction,0
Immature_granulopoiesis,Resolved,identity_markers_removed,Donor5,-0.0656485603893647,alpha_interaction,0
Immature_granulopoiesis,Resolved,identity_markers_removed,Donor6,0.279659293632814,alpha_interaction,0
Immature_granulopoiesis,Resolved; >=100 genes,full_gene,Donor1,0.176797268344583,alpha_interaction,0
Immature_granulopoiesis,Resolved; >=100 genes,full_gene,Donor2,0.0679847232766478,alpha_interaction,0
Immature_granulopoiesis,Resolved; >=100 genes,full_gene,Donor3,0.386908983157326,alpha_interaction,0
