barcode,DonorID,ConditionCode,neutrophil_cluster_annotation,neutrophil_state_annotation,lineage_eligible
D_56274623,Donor2,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56276349,Donor4,UD,PADI4/translation-high neutrophil,CXCR4 neutrophil,TRUE
D_56278344,Donor1,UA5,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
D_56279747,Donor2,UA5,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56280509,Donor2,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56285338,Donor1,UA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56285354,Donor5,UD,LTF/BPI immature neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56285356,Donor1,UA5,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56285758,Donor2,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56285848,Donor5,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56287315,Donor2,UD,RORA+ atypical neutrophil,CXCR4 neutrophil,TRUE
D_56288933,Donor2,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56290395,Donor3,UD,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56291793,Donor4,UD,Low-signal neutrophil,CXCR4 neutrophil,TRUE
D_56292746,Donor4,UD,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
D_56292979,Donor6,UA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56293158,Donor3,UD,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56294127,Donor1,UA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56295399,Donor3,UA5,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
D_56295883,Donor2,UA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56298377,Donor6,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56298632,Donor3,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56301745,Donor4,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56303922,Donor3,UA5,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
D_56304902,Donor6,UD,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
D_56305820,Donor6,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56306862,Donor2,UA5,CCL3/CCL4 inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56306935,Donor2,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56307848,Donor5,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56308584,Donor1,UA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56309136,Donor5,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56309156,Donor1,UA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56311640,Donor3,UA5,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56313521,Donor3,UD,Low-signal neutrophil,OSM neutrophil,TRUE
D_56314745,Donor3,UD,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56317137,Donor1,UA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
