barcode,DonorID,ConditionCode,neutrophil_cluster_annotation,neutrophil_state_annotation,lineage_eligible
A_4060263,Donor6,N,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4064591,Donor2,NNAMPT,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_4095593,Donor4,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4098461,Donor4,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_4101619,Donor6,N,PADI4/translation-high neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4119463,Donor6,N,RORA+ atypical neutrophil,OSM neutrophil,TRUE
A_4160428,Donor2,N,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
A_4168236,Donor6,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_4178148,Donor4,N,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_4183540,Donor4,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_4183643,Donor5,NNAMPT,CCL3/CCL4 inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4183666,Donor2,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4193291,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4225175,Donor4,NNAMPT,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4228319,Donor2,NNAMPT,Low-signal neutrophil,PADI4 neutrophil,TRUE
A_4241444,Donor2,NNAMPT,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4260136,Donor6,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_4261057,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4261809,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4277323,Donor4,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4284414,Donor6,N,LTF/BPI immature neutrophil,PADI4 neutrophil,TRUE
A_4285397,Donor2,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4311072,Donor4,NNAMPT,Low-signal neutrophil,OSM neutrophil,TRUE
A_4312137,Donor2,NNAMPT,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_4324426,Donor5,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4331155,Donor3,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4350743,Donor6,NNAMPT,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_4370340,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4378906,Donor6,N,LTF/BPI immature neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4401800,Donor5,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_4410192,Donor1,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4415322,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4421637,Donor2,NNAMPT,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4425422,Donor4,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4437344,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4440885,Donor4,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4455676,Donor2,NNAMPT,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_4476817,Donor6,N,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_4526348,Donor6,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_4531536,Donor1,N,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4549975,Donor6,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_4556179,Donor6,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_4561388,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4568358,Donor4,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4573457,Donor5,NNAMPT,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
A_4590754,Donor4,N,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_4617621,Donor6,N,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_4627335,Donor2,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4631643,Donor4,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_4633775,Donor2,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4695195,Donor6,N,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4696710,Donor6,N,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4728910,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4731104,Donor1,N,IL1R2+ inflammatory neutrophil,CXCR4 neutrophil,TRUE
A_4732280,Donor4,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4738994,Donor4,N,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4740748,Donor1,N,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_4742013,Donor2,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4745748,Donor6,N,Low-signal neutrophil,CXCR4 neutrophil,TRUE
A_4752656,Donor4,NNAMPT,Low-signal neutrophil,OSM neutrophil,TRUE
A_4756898,Donor4,NNAMPT,Low-signal neutrophil,OSM neutrophil,TRUE
A_4784328,Donor6,N,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_4786780,Donor2,NNAMPT,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4788714,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4812358,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4845108,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4873497,Donor1,NNAMPT,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_4941739,Donor5,N,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_4987130,Donor4,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_4993925,Donor4,NNAMPT,Low-signal neutrophil,CXCR4 neutrophil,TRUE
A_5005665,Donor6,N,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
A_5009020,Donor3,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5029096,Donor6,N,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_5068525,Donor4,N,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5069169,Donor5,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5091187,Donor2,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5103640,Donor3,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5116389,Donor6,N,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_5140638,Donor4,NNAMPT,Activated OSM/CXCR4 neutrophil,PADI4 neutrophil,TRUE
A_5152426,Donor6,N,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5168655,Donor6,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_5173110,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5174029,Donor6,N,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5185442,Donor6,N,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_5187615,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5231816,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5235816,Donor4,NNAMPT,IL1R2+ inflammatory neutrophil,CXCR4 neutrophil,TRUE
A_5259604,Donor4,N,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_5275756,Donor4,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5280820,Donor6,N,LTF/BPI immature neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5285499,Donor2,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5287848,Donor6,N,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5292788,Donor4,NNAMPT,Low-signal neutrophil,OSM neutrophil,TRUE
A_5301676,Donor2,NNAMPT,RORA+ atypical neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5354604,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5379774,Donor3,NNAMPT,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5389078,Donor6,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_5398993,Donor6,N,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_5426870,Donor4,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_5438201,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5466625,Donor4,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5486236,Donor2,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5507537,Donor6,N,LTF/BPI immature neutrophil,PADI4 neutrophil,TRUE
A_5544335,Donor2,N,PADI4/translation-high neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5546120,Donor4,N,PADI4/translation-high neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5548483,Donor4,NNAMPT,Low-signal neutrophil,CXCR4 neutrophil,TRUE
A_5560702,Donor4,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_5574787,Donor5,NNAMPT,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5578612,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5606148,Donor5,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5609458,Donor2,NNAMPT,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5638788,Donor5,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5661180,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5676171,Donor5,NNAMPT,Low-signal neutrophil,OSM neutrophil,TRUE
A_5697645,Donor2,N,CCL3/CCL4 inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5722004,Donor4,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5722521,Donor6,N,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
A_5723469,Donor4,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_5731480,Donor5,N,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_5733197,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5784339,Donor1,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_5791424,Donor4,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_5796776,Donor4,NNAMPT,LTF/BPI immature neutrophil,OSM neutrophil,TRUE
A_5802269,Donor4,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5805991,Donor2,NNAMPT,Low-signal neutrophil,OSM neutrophil,TRUE
A_5807076,Donor6,N,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_5817745,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5827893,Donor2,NNAMPT,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_5828528,Donor3,N,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5840855,Donor2,NNAMPT,Low-signal neutrophil,OSM neutrophil,TRUE
A_5842797,Donor4,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5855532,Donor2,NNAMPT,Low-signal neutrophil,OSM neutrophil,TRUE
A_5873169,Donor5,NNAMPT,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_5880547,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5887000,Donor5,NNAMPT,Low-signal neutrophil,OSM neutrophil,TRUE
A_5920313,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5937141,Donor2,NNAMPT,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5951370,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5954608,Donor4,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_5956911,Donor2,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5964972,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5977076,Donor5,N,LTF/BPI immature neutrophil,Low-signal/unresolved neutrophil,TRUE
A_5991370,Donor4,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_6021699,Donor6,N,Low-signal neutrophil,CXCR4 neutrophil,TRUE
A_6070447,Donor4,NNAMPT,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
A_6075733,Donor1,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_6110012,Donor6,N,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_6163904,Donor2,NNAMPT,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_6166723,Donor3,N,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_6175287,Donor5,N,DHFR+ proliferative/stress neutrophil,OSM neutrophil,TRUE
A_6185705,Donor6,N,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_6200237,Donor4,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_6219586,Donor3,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_6222343,Donor1,NNAMPT,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_6233089,Donor4,NNAMPT,PADI4/translation-high neutrophil,OSM neutrophil,TRUE
A_6242881,Donor2,NNAMPT,PADI4/translation-high neutrophil,OSM neutrophil,TRUE
A_6247259,Donor4,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_6276505,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_6279686,Donor6,N,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
A_6294236,Donor2,NNAMPT,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_6298501,Donor4,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_6349662,Donor2,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_6357903,Donor2,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_6358990,Donor6,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_6397642,Donor2,NNAMPT,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_6398005,Donor3,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_6414530,Donor4,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_6421587,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_6440092,Donor1,NNAMPT,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_6459539,Donor4,N,Activated OSM/CXCR4 neutrophil,MX1/ISG neutrophil,TRUE
A_6471952,Donor6,N,DHFR+ proliferative/stress neutrophil,PADI4 neutrophil,TRUE
A_6485852,Donor1,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_6487280,Donor4,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_6492505,Donor4,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_6592260,Donor6,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_6594953,Donor4,N,PADI4/translation-high neutrophil,Low-signal/unresolved neutrophil,TRUE
A_6620456,Donor4,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_6623069,Donor4,N,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_6630807,Donor2,NNAMPT,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_6674190,Donor2,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_6680897,Donor1,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_6682813,Donor1,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_6689251,Donor6,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_6690336,Donor2,N,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
A_6702099,Donor2,NNAMPT,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_6787767,Donor6,N,PADI4/translation-high neutrophil,OSM neutrophil,TRUE
A_6817136,Donor6,N,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_6842424,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_6851373,Donor5,N,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_6865824,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_6873606,Donor1,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_6906424,Donor6,N,PADI4/translation-high neutrophil,Low-signal/unresolved neutrophil,TRUE
A_6909802,Donor4,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_6913270,Donor6,N,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_6922292,Donor2,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_6926442,Donor4,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_6981607,Donor6,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_6983609,Donor4,NNAMPT,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_6996636,Donor4,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7051551,Donor6,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_7052215,Donor3,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7053746,Donor2,NNAMPT,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7092712,Donor6,N,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
A_7097005,Donor6,N,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_7098222,Donor6,N,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
A_7099029,Donor2,NNAMPT,LTF/BPI immature neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7101256,Donor2,NNAMPT,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7102410,Donor6,N,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_7107653,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7129639,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7146476,Donor4,NNAMPT,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7146971,Donor5,NNAMPT,PADI4/translation-high neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7160028,Donor6,N,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_7164871,Donor6,N,PADI4/translation-high neutrophil,OSM neutrophil,TRUE
A_7174377,Donor6,N,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7185840,Donor6,N,Activated OSM/CXCR4 neutrophil,PADI4 neutrophil,TRUE
A_7197418,Donor2,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7201804,Donor4,NNAMPT,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_7202764,Donor4,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7205810,Donor6,N,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7213698,Donor4,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7233979,Donor4,N,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
A_7260044,Donor4,NNAMPT,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7269514,Donor4,NNAMPT,Low-signal neutrophil,OSM neutrophil,TRUE
A_7281075,Donor5,NNAMPT,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7295440,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7299630,Donor2,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7300186,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7387042,Donor2,N,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_7393207,Donor4,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7402518,Donor6,N,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_7410471,Donor1,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7419353,Donor6,N,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7423359,Donor6,N,PADI4/translation-high neutrophil,CXCR4 neutrophil,TRUE
A_7438086,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7441498,Donor5,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7474366,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7499164,Donor4,N,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_7511591,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7529410,Donor6,N,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7536653,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7548183,Donor4,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7565687,Donor5,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_7573003,Donor1,NNAMPT,Low-signal neutrophil,OSM neutrophil,TRUE
A_7577665,Donor4,N,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7585194,Donor4,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_7605621,Donor3,N,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_7610496,Donor6,N,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_7611141,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7654100,Donor2,NNAMPT,Low-signal neutrophil,OSM neutrophil,TRUE
A_7655148,Donor6,N,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_7664078,Donor4,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7671904,Donor6,NNAMPT,Low-signal neutrophil,OSM neutrophil,TRUE
A_7685089,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7691748,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7696251,Donor6,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_7700863,Donor2,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_7740541,Donor6,N,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_7741613,Donor6,N,PADI4/translation-high neutrophil,OSM neutrophil,TRUE
A_7750819,Donor4,N,Low-signal neutrophil,CXCR4 neutrophil,TRUE
A_7751033,Donor6,N,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7799506,Donor1,NNAMPT,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7799578,Donor4,NNAMPT,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_7838755,Donor6,N,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
A_7841099,Donor3,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_7842225,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7848050,Donor2,NNAMPT,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7878238,Donor6,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_7914430,Donor4,NNAMPT,IL1R2+ inflammatory neutrophil,PADI4 neutrophil,TRUE
A_7933846,Donor4,NNAMPT,Low-signal neutrophil,OSM neutrophil,TRUE
A_7939348,Donor6,N,LTF/BPI immature neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7946258,Donor2,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7949039,Donor2,NNAMPT,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
A_7960305,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7961723,Donor6,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_7964500,Donor4,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_7965448,Donor4,NNAMPT,Low-signal neutrophil,OSM neutrophil,TRUE
A_7983327,Donor5,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
