program,version,min_state_cells,component,n,effect,se,low,high,p,p_signflip,same_sign,q
ER_stress,identity_markers_removed,1,activity,5,-0.106588281073134,0.0353872451514302,-0.204839024660257,-0.00833753748601156,0.0394704953764069,0.0625,5,0.111662606622036
Proliferation_stress,identity_markers_removed,1,activity,5,0.000998575605782192,0.0280263884110858,-0.0768151533145493,0.0788123045261136,0.973284688529287,1,4,0.973284688529287
Integrin_adhesion,identity_markers_removed,1,activity,5,-0.045880652365113,0.036511620811376,-0.147253163249696,0.0554918585194697,0.277275738334671,0.3125,3,0.431317815187266
CXCR4_aging_retention,identity_markers_removed,1,activity,5,-0.168109626200012,0.04253115608642,-0.286195046334556,-0.0500242060654683,0.0167810536620427,0.0625,5,0.111662606622036
NETosis,identity_markers_removed,10,activity,5,0.00443011017461731,0.0262463030296295,-0.0684413094015355,0.0773015297507702,0.874153397201061,0.875,3,0.941395966216527
Degranulation,identity_markers_removed,10,activity,5,0.0241878354883713,0.0134835978273538,-0.0132486336998408,0.0616243046765834,0.147285287393847,0.1875,4,0.257749252939232
Oxidative_burst,identity_markers_removed,10,activity,5,-0.0505810865930693,0.0533250685223653,-0.198635212076327,0.0974730388901889,0.396565102756116,0.375,3,0.555191143858562
Phagocytosis,identity_markers_removed,10,activity,5,-0.101299479233788,0.0503856930148969,-0.241192589976997,0.0385936315094211,0.114735987235579,0.25,3,0.257749252939232
Chemotaxis,identity_markers_removed,10,activity,5,-0.124274000988711,0.0396703475359215,-0.234416543226315,-0.0141314587511061,0.0350948545964056,0.0625,5,0.125338021263414
OSM_inflammation,identity_markers_removed,10,activity,5,-0.0501809887938553,0.0173905729661742,-0.0984649599823746,-0.00189701760533589,0.0447635790226479,0.0625,5,0.125338021263414
Type_I_interferon,identity_markers_removed,10,activity,5,-0.00565991023879375,0.00974162716942779,-0.0327070033100134,0.0213871828324259,0.592402457627896,0.75,2,0.753966764253686
Immature_granulopoiesis,identity_markers_removed,10,activity,5,0.0498544406755304,0.0107889954417539,0.0198993870912714,0.0798094942597895,0.00987471329296791,0.0625,5,0.119152613518
Survival_antiapoptosis,identity_markers_removed,10,activity,5,-0.0495675265500176,0.0275932603473319,-0.126178699177816,0.0270436460777805,0.146858574095345,0.25,3,0.257749252939232
Hypoxia_glycolysis,identity_markers_removed,10,activity,5,0.00738807802886745,0.0305412804556075,-0.077408110598577,0.0921842666563118,0.820749889349029,0.8125,2,0.941395966216527
ER_stress,identity_markers_removed,10,activity,5,-0.106542453045168,0.0353672317080085,-0.204737630405265,-0.00834727568507165,0.039454624964743,0.0625,5,0.125338021263414
Proliferation_stress,identity_markers_removed,10,activity,5,-0.00199058813769287,0.0272219822739956,-0.077570927576109,0.0735897513007232,0.945217791459525,1,1,0.945217791459525
Integrin_adhesion,identity_markers_removed,10,activity,5,-0.0440334508423303,0.0357486107229048,-0.143287506101561,0.0552206044169,0.285502576718332,0.3125,3,0.444115119339628
