DonorID,ConditionCode,program,value,cells,population,version
Donor6,CF,Chemotaxis,0.054710899510286,1249,Resolved,full_gene
Donor1,CF,Chemotaxis,0.0824105635149761,1253,Resolved,full_gene
Donor4,NA5,Chemotaxis,0.297468773467949,1580,Resolved,full_gene
Donor1,NA5,Chemotaxis,0.206478012499821,71,Resolved,full_gene
Donor5,CF,Chemotaxis,0.260373218656239,11,Resolved,full_gene
Donor2,CF,Chemotaxis,0.057423827646002,22,Resolved,full_gene
Donor6,NA5,Chemotaxis,0.307440755698618,1,Resolved,full_gene
Donor1,N,OSM_inflammation,-0.284560748078465,55,Resolved,full_gene
Donor6,N,OSM_inflammation,-0.318858114625013,801,Resolved,full_gene
Donor5,NNAMPT,OSM_inflammation,-0.342788951950152,41,Resolved,full_gene
Donor2,NNAMPT,OSM_inflammation,-0.322041989126838,215,Resolved,full_gene
Donor1,NNAMPT,OSM_inflammation,-0.349929301573245,63,Resolved,full_gene
Donor4,NNAMPT,OSM_inflammation,-0.291714825917045,233,Resolved,full_gene
Donor4,N,OSM_inflammation,-0.190453846792889,234,Resolved,full_gene
Donor5,N,OSM_inflammation,-0.342290030886059,61,Resolved,full_gene
Donor3,N,OSM_inflammation,-0.127320339247288,102,Resolved,full_gene
Donor3,NNAMPT,OSM_inflammation,-0.101374999870185,42,Resolved,full_gene
Donor2,N,OSM_inflammation,-0.275537635085047,47,Resolved,full_gene
Donor6,NNAMPT,OSM_inflammation,-0.350051632997734,13,Resolved,full_gene
Donor4,UF,OSM_inflammation,0.346394433880175,3393,Resolved,full_gene
Donor4,UN,OSM_inflammation,0.181661643830055,1239,Resolved,full_gene
Donor3,UN,OSM_inflammation,0.186437262207954,2554,Resolved,full_gene
Donor2,UF,OSM_inflammation,0.0679244532317688,720,Resolved,full_gene
Donor3,UF,OSM_inflammation,0.294621141228627,2349,Resolved,full_gene
Donor2,UN,OSM_inflammation,0.0969569590569155,461,Resolved,full_gene
Donor6,UF,OSM_inflammation,0.0597788944574653,369,Resolved,full_gene
Donor1,UF,OSM_inflammation,0.0617211840613964,140,Resolved,full_gene
Donor5,UF,OSM_inflammation,0.00361217242098071,28,Resolved,full_gene
Donor1,UN,OSM_inflammation,0.0928586864942838,87,Resolved,full_gene
Donor6,UN,OSM_inflammation,-0.0114308061734017,54,Resolved,full_gene
Donor5,UN,OSM_inflammation,0.0298377058750998,26,Resolved,full_gene
Donor4,UD,OSM_inflammation,0.264974721744269,1847,Resolved,full_gene
Donor4,UA5,OSM_inflammation,0.309921818830835,1576,Resolved,full_gene
Donor5,UD,OSM_inflammation,-0.0430203755905482,1184,Resolved,full_gene
Donor2,UD,OSM_inflammation,-0.0631803834889457,946,Resolved,full_gene
Donor3,UA5,OSM_inflammation,0.281112840574459,2053,Resolved,full_gene
Donor1,UA5,OSM_inflammation,0.0077878122042626,1402,Resolved,full_gene
Donor2,UA5,OSM_inflammation,-0.00631181697911846,944,Resolved,full_gene
Donor6,UD,OSM_inflammation,-0.0964270465073729,481,Resolved,full_gene
Donor3,UD,OSM_inflammation,0.15793761590686,1516,Resolved,full_gene
Donor6,UA5,OSM_inflammation,-0.12924415481576,510,Resolved,full_gene
Donor1,UD,OSM_inflammation,-0.00725690609775747,200,Resolved,full_gene
Donor5,UA5,OSM_inflammation,-0.149449859501446,4,Resolved,full_gene
Donor4,CF,OSM_inflammation,0.26068896280516,2848,Resolved,full_gene
Donor3,NA5,OSM_inflammation,0.240334839568849,3913,Resolved,full_gene
Donor2,NA5,OSM_inflammation,-0.00230436750990041,1148,Resolved,full_gene
Donor5,NA5,OSM_inflammation,0.00424655945128634,2536,Resolved,full_gene
Donor3,CF,OSM_inflammation,0.30662040547824,3355,Resolved,full_gene
