DonorID,program,version,composition,activity,total,retained_0,retained_1,n_states,n0,n1,min_state_cells
Donor1,Chemotaxis,identity_markers_removed,-0.000729157730448498,-0.160025831073237,-0.160754988803685,0.935714285714286,0.893723252496434,2,140,1402,10
Donor1,OSM_inflammation,identity_markers_removed,0.0018367141743451,-0.0366980556479943,-0.0348613414736492,0.935714285714286,0.893723252496434,2,140,1402,10
Donor1,Type_I_interferon,identity_markers_removed,-0.000156921554951828,-0.0146720157273957,-0.0148289372823475,0.935714285714286,0.893723252496434,2,140,1402,10
Donor1,Immature_granulopoiesis,identity_markers_removed,-2.55965322509984e-05,0.0215575923024253,0.0215319957701743,0.935714285714286,0.893723252496434,2,140,1402,10
Donor1,Survival_antiapoptosis,identity_markers_removed,4.69314248382372e-05,-0.10740291929433,-0.107355987869492,0.935714285714286,0.893723252496434,2,140,1402,10
Donor1,Hypoxia_glycolysis,identity_markers_removed,1.24696089784234e-05,-0.0148765956980945,-0.0148641260891161,0.935714285714286,0.893723252496434,2,140,1402,10
Donor1,ER_stress,identity_markers_removed,0.000103778448619301,-0.168248818082439,-0.16814503963382,0.935714285714286,0.893723252496434,2,140,1402,10
Donor1,Proliferation_stress,identity_markers_removed,8.66074447168432e-05,0.0217665771467575,0.0218531845914744,0.935714285714286,0.893723252496434,2,140,1402,10
Donor1,Integrin_adhesion,identity_markers_removed,-0.000215702012212019,-0.100035063608687,-0.100250765620899,0.935714285714286,0.893723252496434,2,140,1402,10
Donor1,CXCR4_aging_retention,identity_markers_removed,-0.00144812130466071,-0.231329571198163,-0.232777692502823,0.935714285714286,0.893723252496434,2,140,1402,10
Donor6,NETosis,identity_markers_removed,0.0190906679059961,-0.0563194975297375,-0.0372288296237414,1,1,4,369,510,1
Donor6,Degranulation,identity_markers_removed,0.0549714807014564,0.00574073092363282,0.0607122116250892,1,1,4,369,510,1
Donor6,Oxidative_burst,identity_markers_removed,0.00315231435828123,-0.160325791055497,-0.157173476697216,1,1,4,369,510,1
Donor6,Phagocytosis,identity_markers_removed,0.0125739201512112,-0.190324227234283,-0.177750307083072,1,1,4,369,510,1
Donor6,Chemotaxis,identity_markers_removed,0.0114771327063494,-0.230509318624484,-0.219032185918135,1,1,4,369,510,1
Donor6,OSM_inflammation,identity_markers_removed,-0.0495332523080999,-0.117822029847237,-0.167355282155337,1,1,4,369,510,1
Donor6,Type_I_interferon,identity_markers_removed,-0.0156069052479077,-0.0391401098224248,-0.0547470150703325,1,1,4,369,510,1
Donor6,Immature_granulopoiesis,identity_markers_removed,0.0544996289871454,0.0807732115237299,0.135272840510875,1,1,4,369,510,1
Donor6,Survival_antiapoptosis,identity_markers_removed,-0.0110619474493182,-0.0768817191018311,-0.0879436665511494,1,1,4,369,510,1
Donor6,Hypoxia_glycolysis,identity_markers_removed,0.00202597073774718,-0.0641268787200701,-0.0621009079823229,1,1,4,369,510,1
Donor6,ER_stress,identity_markers_removed,-0.00401658408215816,-0.150214856680507,-0.154231440762665,1,1,4,369,510,1
Donor6,Proliferation_stress,identity_markers_removed,0.0356678407356819,-0.10839491810302,-0.0727270773673384,1,1,4,369,510,1
Donor6,Integrin_adhesion,identity_markers_removed,0.00253533018002481,-0.121584597280565,-0.11904926710054,1,1,4,369,510,1
Donor6,CXCR4_aging_retention,identity_markers_removed,0.0286325740203584,-0.277965312813091,-0.249332738792733,1,1,4,369,510,1
Donor6,NETosis,identity_markers_removed,0.0190906679059961,-0.0563194975297375,-0.0372288296237414,1,1,4,369,510,10
Donor6,Degranulation,identity_markers_removed,0.0549714807014564,0.00574073092363282,0.0607122116250892,1,1,4,369,510,10
Donor6,Oxidative_burst,identity_markers_removed,0.00315231435828123,-0.160325791055497,-0.157173476697216,1,1,4,369,510,10
Donor6,Phagocytosis,identity_markers_removed,0.0125739201512112,-0.190324227234283,-0.177750307083072,1,1,4,369,510,10
Donor6,Chemotaxis,identity_markers_removed,0.0114771327063494,-0.230509318624484,-0.219032185918135,1,1,4,369,510,10
Donor6,OSM_inflammation,identity_markers_removed,-0.0495332523080999,-0.117822029847237,-0.167355282155337,1,1,4,369,510,10
Donor6,Type_I_interferon,identity_markers_removed,-0.0156069052479077,-0.0391401098224248,-0.0547470150703325,1,1,4,369,510,10
