experiment,sample,group,marker,label,channel,quantile,threshold,positive_events,neutrophil_events,percent,median_fi,iqr_fi,cxcr4_parent_events,joint_with_cxcr4_events,percent_within_cxcr4,status
co,P5-8,N+ATN,OSM,OSM,R670-A,0.99,29.9038450367739,2079,3591,57.8947368421053,73.9432463779127,336.166218418929,3591,2079,57.8947368421053,Provisional above-unstained threshold; no matched FMO
co,P5-8,N+ATN,B515,B515 signal (marker annotation unresolved),B515-A,0.99,124.969641045739,3573,3591,99.4987468671679,15001.4627496002,7333.68911266113,3591,3573,99.4987468671679,Provisional above-unstained threshold; no matched FMO
co,P5-8,N+ATN,B710,B710 signal (marker annotation unresolved),B710-A,0.99,243.879070956721,3589,3591,99.9443052074631,10333.631177901,4308.17900171541,3591,3589,99.9443052074631,Provisional above-unstained threshold; no matched FMO
co,P5-9,N+ATN,CXCR4,CXCR4,V610-A,0.99,229.876206885687,7940,7944,99.9496475327291,4802.43192564979,3843.79390223084,7940,7940,100,Provisional above-unstained threshold; no matched FMO
co,P5-9,N+ATN,OSM,OSM,R670-A,0.99,29.9038450367739,1782,7944,22.4320241691843,-150.678299149607,358.873784110955,7940,1781,22.4307304785894,Provisional above-unstained threshold; no matched FMO
co,P5-9,N+ATN,B515,B515 signal (marker annotation unresolved),B515-A,0.99,124.969641045739,7935,7944,99.8867069486405,15973.4462614981,10721.0604008972,7940,7931,99.8866498740554,Provisional above-unstained threshold; no matched FMO
co,P5-9,N+ATN,B710,B710 signal (marker annotation unresolved),B710-A,0.99,243.879070956721,7944,7944,100,9844.27782354953,5064.7081361726,7940,7940,100,Provisional above-unstained threshold; no matched FMO
mouse,FC1,FC,CXCR4,CXCR4,U820-A,0.99,2610.72641481416,70,161,43.4782608695652,2222.34175518801,3677.77162480104,70,70,100,FMO threshold; review control representativeness
mouse,FC1,FC,OSM,OSM,B515-A,0.99,35160.8428661054,2,161,1.24223602484472,-1584.54789231666,12752.8666156876,70,1,1.42857142857143,FMO threshold; limited tail precision
mouse,FC1,FC,PADI4,PADI4 (R710 FMO identity provisional),R710-A,0.99,62840.1994239227,2,161,1.24223602484472,5751.94170344539,8297.38792193523,70,2,2.85714285714286,FMO threshold; limited tail precision
