Fine_annotation_3,HS,Condition,cells
25-Treg,FOV15_HS50_VDZ_RS_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,1
04-IEC_CT_coloncyte,FOV15_HS50_VDZ_RS_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,11
05G-MNP_activated,FOV15_HS50_VDZ_RS_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,4
10_19-B_cells,FOV16_HS50_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,122
17-Fibroblast_PLAC9_FZD8hi,FOV16_HS50_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,77
07-T_cells,FOV16_HS50_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,180
11_22-IgG_plasma_cell,FOV16_HS50_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,190
04-IEC_CT_coloncyte,FOV16_HS50_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,132
03_26-IgA_plasma_cell,FOV16_HS50_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,117
12-unassigned,FOV16_HS50_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,109
06-Cytotoxic_NK,FOV16_HS50_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,154
18-unassigned,FOV16_HS50_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,42
13-IEC_crypt_base_MHCIIhi,FOV16_HS50_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,43
15-Fibroblast_PDGFRBhi,FOV16_HS50_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,96
01-IEC_crypt_base,FOV16_HS50_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,140
02-unassigned,FOV16_HS50_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,280
01A-Muscularis mucosae and myofibroblast,FOV16_HS50_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,16
9-CCL3_L3_CCL4_L2hi,FOV16_HS50_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,179
16-unassigned,FOV16_HS50_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,98
20_21_23_Endothelial,FOV16_HS50_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,74
1B-Fibroblast,FOV16_HS50_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,44
08_27_IEC_colonocyte,FOV16_HS50_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,26
01C_24_activated_fibroblast,FOV16_HS50_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,17
05G-MNP_activated,FOV16_HS50_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,12
14-unassigned,FOV16_HS50_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,91
05E-MNP-pDC,FOV16_HS50_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,4
05F-MNP_monocyte_neutrophil,FOV16_HS50_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,9
05-MNP_NOS,FOV16_HS50_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,69
05A-MNP-M1_Macrophage,FOV16_HS50_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,2
05B-MNP-M2_macrophage,FOV16_HS50_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,5
25-Treg,FOV16_HS50_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,3
12-unassigned,FOV17_HS49_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,73
11_22-IgG_plasma_cell,FOV17_HS49_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,155
05-MNP_NOS,FOV17_HS49_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,93
07-T_cells,FOV17_HS49_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,101
13-IEC_crypt_base_MHCIIhi,FOV17_HS49_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,95
01C_24_activated_fibroblast,FOV17_HS49_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,28
05F-MNP_monocyte_neutrophil,FOV17_HS49_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,13
01-IEC_crypt_base,FOV17_HS49_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,301
05C-MNP-mDC,FOV17_HS49_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,7
20_21_23_Endothelial,FOV17_HS49_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,41
03_26-IgA_plasma_cell,FOV17_HS49_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,136
10_19-B_cells,FOV17_HS49_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,50
1B-Fibroblast,FOV17_HS49_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,47
02-unassigned,FOV17_HS49_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,143
08_27_IEC_colonocyte,FOV17_HS49_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,8
14-unassigned,FOV17_HS49_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,55
06-Cytotoxic_NK,FOV17_HS49_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,92
04-IEC_CT_coloncyte,FOV17_HS49_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,32
15-Fibroblast_PDGFRBhi,FOV17_HS49_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,55
9-CCL3_L3_CCL4_L2hi,FOV17_HS49_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,97
05G-MNP_activated,FOV17_HS49_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,9
25-Treg,FOV17_HS49_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,4
18-unassigned,FOV17_HS49_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,41
17-Fibroblast_PLAC9_FZD8hi,FOV17_HS49_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,38
16-unassigned,FOV17_HS49_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,65
01A-Muscularis mucosae and myofibroblast,FOV17_HS49_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,11
05A-MNP-M1_Macrophage,FOV17_HS49_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,4
05B-MNP-M2_macrophage,FOV17_HS49_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,9
05E-MNP-pDC,FOV17_HS49_VDZ_R_POST_1_Mayo3_Non-responder,VDZ_POST_Non-responder,3
07-T_cells,FOV18_HS49_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,185
04-IEC_CT_coloncyte,FOV18_HS49_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,272
03_26-IgA_plasma_cell,FOV18_HS49_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,106
9-CCL3_L3_CCL4_L2hi,FOV18_HS49_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,120
13-IEC_crypt_base_MHCIIhi,FOV18_HS49_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,76
20_21_23_Endothelial,FOV18_HS49_VDZ_RS_PRE_1_Mayo2_Non-responder,PRE_VDZ_Non-responder,80
